time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,requested_current_A,interval_duration_s,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature,numerical_failure,failure_reason,failure_penalty
0.0,1,0.10000000000000007,0.08164965809277272,3.294285117503761,298.15,0.0,0.0,0.0,3.294285117503761,3.294285117503761,298.15,0.0,0.0,0.0,0.0,False,,0.0
0.0,2,0.1999999999999999,0.08164965809277272,3.503547969306337,298.15,0.0,0.0,0.0,3.503547969306337,3.503547969306337,298.15,0.0,0.0,0.0,0.0,False,,0.0
0.0,3,0.3000000000000004,0.08164965809277272,3.603529591032297,298.15,0.0,0.0,0.0,3.603529591032297,3.603529591032297,298.15,0.0,0.0,0.0,0.0,False,,0.0
90.0,1,0.12058663124277737,0.08745361953061262,3.5064935653388103,298.3034039446882,3.5,3.5,90.0,3.465248815236748,3.5064935653388103,298.3034039446882,-0.75,-3.372680976530631,-0.0,-0.0,False,,0.0
90.0,2,0.1999999999999999,0.08745361953061262,3.503547969306337,298.15,0.0,0.0,90.0,3.5035479693063376,3.503547969306337,298.15,-0.75,-3.372680976530631,-0.0,-0.0,False,,0.0
90.0,3,0.3325917419273048,0.08745361953061262,3.804575740783109,298.3482313683759,5.0,5.0,90.0,3.7740466756190916,3.804575740783109,298.3482313683759,-0.75,-3.372680976530631,-0.0,-0.0,False,,0.0
180.0,1,0.16470084104872845,0.0706335843675597,3.690500327056319,298.87434988942965,7.5,7.5,90.0,3.65101929758267,3.690500327056319,298.87434988942965,-0.75,-2.531679218377985,-0.0,-0.0,False,,0.0
180.0,2,0.21244617222887396,0.0706335843675597,3.5892459721813053,298.1959920865083,2.0,2.0,90.0,3.580118255616723,3.5892459721813053,298.1959920865083,-0.75,-2.531679218377985,-0.0,-0.0,False,,0.0
180.0,3,0.3325917419273054,0.0706335843675597,3.6422846406000233,298.34667529672595,0.0,0.0,90.0,3.6508500152295382,3.674688392083186,298.3482313683759,-0.75,-2.531679218377985,-0.0,-0.0,False,,0.0
270.0,1,0.20881505085467983,0.05100427700334775,3.728368715052906,299.4436876756209,7.5,7.5,90.0,3.710143112444778,3.728368715052906,299.4436876756209,-0.75,-1.5502138501673877,-0.0,-0.0,False,,0.0
270.0,2,0.25600777502993366,0.05100427700334775,3.7731524458529333,298.6324283559069,7.0,7.0,90.0,3.7372972193808485,3.7731524458529333,298.6324283559069,-0.75,-1.5502138501673877,-0.0,-0.0,False,,0.0
270.0,3,0.3325917419273068,0.05100427700334775,3.6387606945274715,298.3451314403406,0.0,0.0,90.0,3.6401668411841848,3.6422846406000233,298.34667529672595,-0.75,-1.5502138501673877,-0.0,-0.0,False,,0.0
360.0,1,0.25292926066063115,0.05292504930262247,3.7694403998559047,299.9926627134858,7.5,7.5,90.0,3.748112413756532,3.7694403998559047,299.9926627134858,-0.75,-1.6462524651311234,-0.0,-0.0,False,,0.0
360.0,2,0.30268092088821186,0.05292504930262247,3.8441654275587784,299.1326157898247,7.5,7.5,90.0,3.8141696969385848,3.8441654275587784,299.1326157898247,-0.75,-1.6462524651311234,-0.0,-0.0,False,,0.0
360.0,3,0.38147935481826273,0.05292504930262247,3.923349006134564,298.74498662551525,7.5,7.5,90.0,3.873519416789293,3.923349006134564,298.74498662551525,-0.75,-1.6462524651311234,-0.0,-0.0,False,,0.0
450.0,1,0.29704347046658275,0.05484791449753858,3.816752922377799,300.5228836294907,7.5,7.5,90.0,3.793022639729878,3.816752922377799,300.5228836294907,-0.75,-1.7423957248769286,-0.0,-0.0,False,,0.0
450.0,2,0.3493540667464899,0.05484791449753858,3.8961910463678224,299.6201320985369,7.5,7.5,90.0,3.8706939868515384,3.8961910463678224,299.6201320985369,-0.75,-1.7423957248769286,-0.0,-0.0,False,,0.0
450.0,3,0.43036696770921923,0.05484791449753858,3.9831121140186667,299.16676798555096,7.5,7.5,90.0,3.955063331932585,3.9831121140186667,299.16676798555096,-0.75,-1.7423957248769286,-0.0,-0.0,False,,0.0
540.0,1,0.34115768027253407,0.05677265993211061,3.860652760027078,301.03653722599967,7.5,7.5,90.0,3.839144347905142,3.860652760027078,301.03653722599967,-0.75,-1.8386329966055306,-0.0,-0.0,False,,0.0
540.0,2,0.3960272126047682,0.05677265993211061,3.944164123372232,300.0926260013872,7.5,7.5,90.0,3.920413240913421,3.944164123372232,300.0926260013872,-0.75,-1.8386329966055306,-0.0,-0.0,False,,0.0
540.0,3,0.4792545806001758,0.05677265993211061,4.02570870359396,299.58312386005105,7.5,7.5,90.0,4.005469739750052,4.02570870359396,299.58312386005105,-0.75,-1.8386329966055306,-0.0,-0.0,False,,0.0
630.0,1,0.38527189007848556,0.03868244829483516,3.9019710617972647,301.535521796697,7.5,7.5,90.0,3.8812602871495137,3.9019710617972647,301.535521796697,-0.75,-0.9341224147417578,-0.0,-0.0,False,,0.0
630.0,2,0.44270035846304645,0.03868244829483516,3.987353311029232,300.5514532097823,7.5,7.5,90.0,3.9663251545355056,3.987353311029232,300.5514532097823,-0.75,-0.9341224147417578,-0.0,-0.0,False,,0.0
630.0,3,0.4792545806001775,0.03868244829483516,3.785755889629815,299.57187416012744,0.0,0.0,90.0,3.8062855706373244,3.851554374172207,299.58312386005105,-0.75,-0.9341224147417578,-0.0,-0.0,False,,0.0
720.0,1,0.4293860998844375,0.04182600547684059,3.944700175021919,302.02143048111475,7.5,7.5,90.0,3.9232731562119465,3.944700175021919,302.02143048111475,-0.75,-1.0913002738420294,-0.0,-0.0,False,,0.0
720.0,2,0.45514653069192046,0.04182600547684059,3.8299372743257134,300.5549313541266,2.0,2.0,90.0,3.843401224060031,3.8859178444032905,300.5550199673539,-0.75,-1.0913002738420294,-0.0,-0.0,False,,0.0
720.0,3,0.5281421934911342,0.04182600547684059,4.048499623161071,299.9515981308452,7.5,7.5,90.0,4.009124848652473,4.048499623161071,299.9515981308452,-0.75,-1.0913002738420294,-0.0,-0.0,False,,0.0
810.0,1,0.449972731127215,0.05620443180660314,3.844477921672132,302.10193629673614,3.5,3.5,90.0,3.849942017989009,3.8790428468693285,302.10193629673614,-0.75,-1.810221590330157,-0.0,-0.0,False,,0.0
