iteration,best_objective,solver_failures,evaluations
0,25.371448333833456,0,20
1,20.51402414890329,0,40
2,5.7970140104828936,0,60
3,2.9312973266524516,0,80
4,2.730602099046414,0,100
5,2.730602099046414,0,120
6,2.709688353510935,0,140
7,2.709688353510935,0,160
8,2.709688353510935,0,180
9,2.709688353510935,0,200
10,2.7032828832214535,0,220
11,2.6831649967150595,0,240
12,2.6831649967150595,0,260
13,2.6622128088949113,0,280
14,2.6516229256326076,0,300
15,2.6504830903003205,0,320
16,2.649495132404773,0,340
17,2.6427197391596065,0,360
18,2.6427197391596065,0,380
19,2.613444062813765,0,400
20,2.610554981712553,0,420
21,2.610554981712553,0,440
22,2.5982890055861176,0,460
23,2.5982890055861176,0,480
24,2.5982856484520886,0,500
25,2.59823435637201,0,520
26,2.59823435637201,0,540
27,2.598219069870928,0,560
28,2.598209520260159,0,580
29,2.598200210643986,0,600
30,2.598200210643986,0,620
31,2.598200210643986,0,640
32,2.598200210643986,0,660
33,2.598200072556863,0,680
34,2.598199968438208,0,700
35,2.598199968438208,0,720
36,2.598199968438208,0,740
37,2.598199968438208,0,760
38,2.598199968438208,0,780
39,2.598199968438208,0,800
40,2.598199968438208,0,820
41,2.598199968438208,0,840
42,2.598199968438208,0,860
43,2.598199968438208,0,880
44,2.598199968438208,0,900
45,2.598199968438208,0,920
46,2.598199968438208,0,940
47,2.598199968438208,0,960
48,2.598199957068556,0,980
49,2.598199957068556,0,1000
50,2.598199957068556,0,1020
