iteration,best_objective,solver_failures,evaluations
0,6.4814028061068765,0,20
1,2.8772323702026577,0,40
2,2.8772323702026577,0,60
3,1.4851723931999024,0,80
4,1.4851723931999024,0,100
5,1.3900610715357977,0,120
6,1.3724185073259512,0,140
7,1.3724185073259512,0,160
8,1.3549823662185971,0,180
9,1.3549823662185971,0,200
10,1.3549823662185971,0,220
11,1.3549823662185971,0,240
12,1.3549823662185971,0,260
13,1.3549823662185971,0,280
14,1.35442371524932,0,300
15,1.35442371524932,0,320
16,1.3455645138075125,0,340
17,1.3455645138075125,0,360
18,1.3455645138075125,0,380
19,1.3455645138075125,0,400
20,1.3455645138075125,0,420
21,1.3455645138075125,0,440
22,1.3435654096933696,0,460
23,1.3392824322587942,0,480
24,1.3012657479425807,0,500
25,1.2726269259962384,0,520
26,1.2048437479596052,0,540
27,1.2018115400863683,0,560
28,1.2018115400863683,0,580
29,1.201476677212806,0,600
30,1.1965951822716092,0,620
31,1.1965951822716092,0,640
32,1.1965951822716092,0,660
33,1.1965951822716092,0,680
34,1.1965951822716092,0,700
35,1.1965951822716092,0,720
36,1.1961180387898105,0,740
37,1.1959084466032759,0,760
38,1.1959084466032759,0,780
39,1.1959084466032759,0,800
40,1.1954183798432931,0,820
41,1.1954183798432931,0,840
42,1.1954183798432931,0,860
43,1.1952194426911449,0,880
44,1.1952194426911449,0,900
45,1.1952194426911449,0,920
46,1.1952194426911449,0,940
47,1.1952194426911449,0,960
48,1.1951245940194302,0,980
49,1.1951130668735965,0,1000
50,1.1949528341726567,0,1020
