episode,reward,loss,epsilon,steps,target_reached
1,-153.4338965608867,,0.48333333333333334,46,True
2,-144.47491420842366,10.392836570739746,0.4666666666666667,45,True
3,-257.19282842436564,5.494706153869629,0.45,50,False
4,-235.40058311454501,3.263016700744629,0.43333333333333335,50,False
5,-197.5632927378604,1.5949257612228394,0.4166666666666667,50,False
6,-147.6533944648284,1.211986780166626,0.4,50,False
7,-149.64584858237342,1.521452784538269,0.3833333333333333,49,True
8,-97.40202401483401,0.91832435131073,0.3666666666666667,45,True
9,-97.6666986407503,1.1851907968521118,0.35,45,True
10,-161.35338578006218,0.9589338302612305,0.33333333333333337,48,True
11,-185.9682452452743,1.1425994634628296,0.31666666666666665,50,False
12,-141.5900271481561,1.0806337594985962,0.3,45,True
13,-163.29950014306863,1.0044630765914917,0.2833333333333333,48,True
14,-83.4038357676598,0.9685598015785217,0.26666666666666666,41,True
15,-70.65965807144298,0.9909095168113708,0.25,39,True
16,-137.83618634202045,0.9282748699188232,0.23333333333333334,45,True
17,-168.13725681798394,0.8231266140937805,0.21666666666666667,50,False
18,-154.24963841913697,0.8053989410400391,0.2,43,True
19,-92.84236369361793,0.8386570811271667,0.18333333333333335,50,True
20,-151.46652979648223,0.814434826374054,0.16666666666666669,44,True
21,-53.096962492618616,0.857623815536499,0.15000000000000002,38,True
22,-101.60557051621507,0.8077625036239624,0.13333333333333336,37,True
23,-42.92559659397053,0.8352423906326294,0.11666666666666664,37,True
24,-94.87991575531291,0.7881444692611694,0.09999999999999998,37,True
25,-44.68390139535262,0.7895529866218567,0.08333333333333331,36,True
26,-60.915816144031595,0.7612507939338684,0.06666666666666665,37,True
27,-43.71037839303205,0.7533907294273376,0.04999999999999999,36,True
28,-47.072668395282165,0.7326117753982544,0.033333333333333326,35,True
29,-46.42680628413035,0.7161586284637451,0.016666666666666663,36,True
30,-53.870143959970946,0.6901388764381409,0.0,35,True
