episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
1,39,0.5,-126.63863479575198,,True,True,,"[0.1, 0.2, 0.3]",52.53119209999977
2,72,0.491225,-167.1568086321677,,True,True,,"[0.3, 0.5, 0.7]",100.08877959999973
3,113,0.4838,-234.36739309653066,,True,True,,"[0.20504336472595097, 0.11185774668732996, 0.5061029358935236]",159.94175799999994
4,155,0.474575,-199.67788249736867,,True,True,,"[0.21558032736681548, 0.4035457972594211, 0.14497732303202765]",218.0606859999998
5,194,0.465125,-144.33466200099977,3.9629180431365967,True,True,,"[0.1, 0.2, 0.3]",269.5557977999997
6,234,0.45635,-181.80105328833145,2.7393338680267334,True,True,,"[0.3, 0.5, 0.7]",324.7953238
7,267,0.44735,-143.0522386147751,2.855701446533203,True,True,,"[0.17568645746169254, 0.5647175215990091, 0.29559678396418865]",374.92277409999997
8,304,0.439925,-180.5885402382429,2.882575273513794,True,True,,"[0.5488077092733465, 0.3897114472027201, 0.15897728752485943]",431.2417234999998
9,343,0.4316,-93.68976066720462,,True,True,,"[0.1, 0.2, 0.3]",489.260593
10,369,0.422825,-94.90652680427043,2.245450735092163,True,True,,"[0.3, 0.5, 0.7]",532.8945054999999
11,399,0.416975,-150.3643230531705,,True,True,,"[0.24472184976234732, 0.28784414680246884, 0.7043855037693988]",589.1470832999998
12,428,0.410225,-158.36758013651172,2.895294427871704,True,True,,"[0.735577017687801, 0.2016636860849148, 0.5294904018289612]",648.8668678999998
13,471,0.4037,-159.68606943177647,2.0439493656158447,True,True,,"[0.1, 0.2, 0.3]",713.4077294999997
14,511,0.394025,-186.26959032203408,1.9833554029464722,True,True,,"[0.3, 0.5, 0.7]",782.6884295
15,543,0.385025,-176.22077331344957,,True,True,,"[0.6103407696233529, 0.6689102879093933, 0.12204326061386715]",828.9119698999998
16,581,0.37782499999999997,-200.97714160118016,2.5905683040618896,True,True,,"[0.6480768337006431, 0.5147624410250559, 0.19420246317408352]",890.0379172999997
17,620,0.369275,-87.11119614585321,2.3283579349517822,True,True,,"[0.1, 0.2, 0.3]",949.1617251999996
18,646,0.3605,-104.09462930578296,,True,True,,"[0.3, 0.5, 0.7]",989.9399623999998
19,691,0.35465,-266.4146065743094,2.366114377975464,True,True,,"[0.7171826215250795, 0.6394256311371908, 0.27917808601197747]",1055.2827601
20,751,0.34452499999999997,-350.2339605606424,2.257155656814575,False,True,,"[0.2945444012629645, 0.4282146179276797, 0.6307251034964929]",1162.3587900999996
21,786,0.331025,-113.04480730765115,,True,True,,"[0.1, 0.2, 0.3]",1211.0187917999997
22,815,0.32315,-135.09687083198958,2.152184247970581,True,True,,"[0.3, 0.5, 0.7]",1259.4199965999996
23,848,0.31662500000000005,-88.67960044753444,,True,True,,"[0.17401361820307581, 0.37196666659160815, 0.1724240172152547]",1309.8327456999996
24,871,0.30920000000000003,-58.78589863787416,2.0878453254699707,True,True,,"[0.7059837301258531, 0.6877033946429214, 0.4598462190303555]",1353.4675438
25,903,0.304025,-56.265281810383804,1.996812343597412,True,True,,"[0.1, 0.2, 0.3]",1401.6201379
26,931,0.296825,-109.48179845192628,,True,True,,"[0.3, 0.5, 0.7]",1450.6432119999995
27,960,0.290525,-129.4561675150626,1.9155279397964478,True,True,,"[0.194940368016349, 0.5222122153812255, 0.29290498184142555]",1501.1786538000001
28,992,0.28400000000000003,-188.21830853374232,,True,True,,"[0.6662773105745463, 0.5238338012376171, 0.23195470108282418]",1561.9406241000002
29,1024,0.2768,-112.31019478162034,1.947810173034668,True,True,,"[0.1, 0.2, 0.3]",1611.3847652
30,1050,0.26959999999999995,-106.17845403341617,1.7590348720550537,True,True,,"[0.3, 0.5, 0.7]",2002.4232517999994
31,1079,0.26375,-136.4020803119906,,True,True,,"[0.22072935833409857, 0.3856646040067816, 0.6030227566006094]",2047.9051864999997
32,1115,0.25722500000000004,-214.549118153669,1.87113618850708,True,True,,"[0.4945093480486408, 0.5667661016131263, 0.1467970242515639]",2111.6497120999998
33,1147,0.24912499999999999,-95.88029234870619,,True,True,,"[0.1, 0.2, 0.3]",2157.1178035
34,1172,0.241925,-103.37271869480915,1.6033856868743896,True,True,,"[0.3, 0.5, 0.7]",2202.1363810999997
35,1207,0.2363,-197.90356925279494,1.6812260150909424,True,True,,"[0.48756646515806834, 0.6458607251951306, 0.1982334264802021]",2264.1056335999997
36,1241,0.228425,-80.88273445392778,,True,True,,"[0.14436404754994897, 0.24540044685938497, 0.2967853087040848]",2314.0770538
37,1275,0.22077499999999994,-61.05046140427905,1.5690264701843262,True,True,,"[0.1, 0.2, 0.3]",2362.4352963999995
38,1299,0.213125,-99.9157877431717,,True,True,,"[0.3, 0.5, 0.7]",2407.0776899999996
39,1325,0.207725,-107.33579229489808,1.599347710609436,True,True,,"[0.29293648995621746, 0.6021412294894606, 0.6574387351672414]",2456.8437609999996
40,1357,0.20187500000000003,-165.91958745002782,1.4982194900512695,True,True,,"[0.46334465960179305, 0.2514757036168196, 0.7146319885602019]",2520.6035424999995
41,1388,0.194675,-75.88993617627564,,True,True,,"[0.1, 0.2, 0.3]",2564.9682109
42,1413,0.18770000000000003,-109.16184792390392,1.4687573909759521,True,True,,"[0.3, 0.5, 0.7]",2617.0937717
43,1443,0.182075,-125.63217518506414,,True,True,,"[0.5787196175207038, 0.3286821289391692, 0.6129379833454367]",2672.9673075999995
44,1475,0.17532499999999995,-197.05266017665033,1.4279474020004272,True,True,,"[0.14171108525771986, 0.437127972370573, 0.6452845105102918]",2732.098166
45,1509,0.16812499999999997,-103.30941408099002,1.712920904159546,True,True,,"[0.1, 0.2, 0.3]",2782.3292670999995
46,1535,0.16047500000000003,-109.51062907414678,,True,True,,"[0.3, 0.5, 0.7]",2821.759224
47,1563,0.154625,-119.54764256043426,1.4392118453979492,True,True,,"[0.3761410496951447, 0.39832945458559776, 0.6928633760819356]",2866.2241609999996
48,1601,0.14832499999999998,-184.3895449416124,1.5624263286590576,True,True,,"[0.4981745496961091, 0.20525583705737754, 0.4905022683744611]",2934.4280549
49,1640,0.13977499999999998,-78.15095408072654,,True,True,,"[0.1, 0.2, 0.3]",2985.4728795999995
50,1671,0.131,-101.32086325330779,1.3802216053009033,True,True,,"[0.3, 0.5, 0.7]",3024.9082540999993
51,1701,0.124025,-91.14635246327678,22.446306228637695,True,True,,"[0.43105186198703915, 0.5483165163332481, 0.22679963383534268]",3068.2154993
52,1728,0.11727499999999996,-59.303204826984,,True,True,,"[0.6637918181182271, 0.6470871644169066, 0.5310910094649774]",3104.7675233999994
53,1776,0.11120000000000002,-122.61715949257783,15.76961898803711,True,True,,"[0.1, 0.2, 0.3]",3167.6078058999997
