iteration,best_objective,solver_failures,evaluations
0,16.688266704980506,0,20
1,16.688266704980506,0,40
2,11.42327987230356,0,60
3,6.811721049529476,0,80
4,5.290651146850598,0,100
5,4.424666582783782,0,120
6,3.7029634411859957,0,140
7,2.826519021479993,0,160
8,2.789043810481042,0,180
9,2.7660460843676535,0,200
10,2.7660460843676535,0,220
11,2.743636652882983,0,240
12,2.7300130207897597,0,260
13,2.7300130207897597,0,280
14,2.7172251860619494,0,300
15,2.706324404950413,0,320
16,2.706324404950413,0,340
17,2.6761916679614357,0,360
18,2.6761916679614357,0,380
19,2.6760868028356892,0,400
20,2.6702665764795084,0,420
21,2.6656633795279383,0,440
22,2.6502895496627743,0,460
23,2.647534136630239,0,480
24,2.6336189379833606,0,500
25,2.6116324925162986,0,520
26,2.600151433168021,0,540
27,2.5996771937858045,0,560
28,2.5982961870521897,0,580
29,2.5982022266635387,0,600
30,2.5982022266635387,0,620
31,2.5982022266635387,0,640
32,2.5982022266635387,0,660
33,2.598201121717392,0,680
34,2.598200109079879,0,700
35,2.598200109079879,0,720
36,2.598200109079879,0,740
37,2.598200109079879,0,760
38,2.598200109079879,0,780
39,2.598200109079879,0,800
40,2.598200109079879,0,820
41,2.598200109079879,0,840
42,2.598200109079879,0,860
43,2.598200109079879,0,880
44,2.598200109079879,0,900
45,2.598200109079879,0,920
46,2.598200109079879,0,940
47,2.598200109079879,0,960
48,2.598200109079879,0,980
49,2.5982000059763903,0,1000
50,2.5982000059763903,0,1020
