decision_s,method,seed,case_id,test_family,charging_target_reached,charging_time_s,task_success,constraints_satisfied,terminal_hold_soc_satisfied,terminal_hold_observed_s,failure_reason,first_balance_sample_s,sustained_balance_start_s,sustained_balance_charging_duration_s,balance_maintained_for_270s_during_charge,imbalance_after_first_area_soc_s,rebalance_loss_count,soc_std_integral_soc_s,final_charge_soc_1,final_charge_soc_2,final_charge_soc_3,final_charge_soc_std,maximum_soc_deviation_from_pack_mean,max_voltage_V,max_temperature_K,max_voltage_excess_V,max_temperature_excess_K,max_soc_excess,voltage_violation_cell_seconds_sample_estimate,temperature_violation_cell_seconds_sample_estimate,voltage_excess_integral_Vs,temperature_excess_integral_Ks,cell1_charge_Ah,cell2_charge_Ah,cell3_charge_Ah,sum_cell_charge_Ah,sum_cell_terminal_input_Wh,safety_intervention_steps,protective_stop_count,numerical_failure_count,post_switch_peak_unknown,recorded_maxima_complete,decision_count,terminal_hold_step_count,safety_intervention_fraction,sample_finite,final_observed_time_s,violation_measurement
90.0,qmix_raw,7,random_009,nominal_unseen,True,2970.0,False,False,True,270.0,,2319.0,2319.0,651.0,True,0.0,0,76.10099679843363,0.9274634395020929,0.9034389144794165,0.9028090017369421,0.011476623071579638,0.046392231634646286,4.205418269484882,300.0241200855501,0.00541826948488211,0.0,0.0,30.5,0.0,0.08182611049803201,0.0,2.025,1.95,2.0625,6.0375,24.20296620025697,0,0,0,False,True,33,3,0.0,True,3240.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,random_010,nominal_unseen,True,3150.0,False,False,True,270.0,,3125.0,3125.0,25.0,False,0.0,0,332.879641572536,0.9589090744124392,0.9234925265372047,0.9638470707890575,0.017972834171447072,0.18838507819529926,4.2797756015653,299.8264963108819,0.0797756015652995,0.0,0.013847070789168026,532.0,0.0,13.597970992946964,0.0,1.175,2.075,1.2375,4.487500000000001,18.312372545585216,0,0,0,False,True,35,3,0.0,True,3420.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,random_011,nominal_unseen,True,3960.0,False,False,True,270.0,,3936.0,3936.0,24.0,False,0.0,0,471.8061280989055,0.9228358416982057,0.9545582598419315,0.9656748139924917,0.01815081001038653,0.2040636641642884,4.28211918940122,300.493944947869,0.08211918940121965,0.0,0.015674813992597736,489.0,0.0,13.425329936540022,0.0,2.75,1.15,1.9875,5.8875,23.64729747427345,0,0,0,False,True,44,3,0.0,True,4230.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,model_shift_000,unseen_parameter_shift,True,3240.0,False,False,True,270.0,,3206.0,3206.0,34.0,False,0.0,0,336.7815275321252,0.919936319522522,0.9613166290916869,0.9323241454187516,0.017340871309650185,0.20104662139413382,4.270400858548799,300.1405304091549,0.07040085854879852,0.0,0.011316629091770558,364.5,0.0,8.083425942095223,0.0,2.25,1.15,2.2125,5.6125,22.594889253892433,0,0,0,False,True,36,3,0.0,True,3510.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,model_shift_001,unseen_parameter_shift,True,4230.0,False,False,True,270.0,,4212.0,4212.0,18.0,False,0.0,0,458.7997484410987,0.9209028345050562,0.9179064304463583,0.9585825101213565,0.018509096410982487,0.18719064072567038,4.268772093666827,300.6412654474901,0.06877209366682724,0.0,0.008582510121411424,280.0,0.0,6.341668632810264,0.0,2.9625,2.9125,1.925,7.8,30.816387007383927,0,0,0,False,True,47,3,0.0,True,4500.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,model_shift_002,unseen_parameter_shift,True,3870.0,False,False,True,270.0,,3867.0,3867.0,3.0,False,0.0,0,508.5895683794337,0.9637022158018136,0.9193036824433706,0.9577808819882554,0.019683006893508843,0.23134185411790265,4.269279114206055,300.145878649737,0.06927911420605515,0.0,0.013702215802164686,510.5,0.0,12.898492154603522,0.0,1.3,2.575,1.6125,5.487500000000001,22.152638376605438,0,0,0,False,True,43,3,0.0,True,4140.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,model_shift_003,unseen_parameter_shift,True,4050.0,False,False,True,270.0,,4034.0,4034.0,16.0,False,0.0,0,528.4599048218172,0.9575339422297678,0.9183126122262303,0.91634212344129,0.01897062491912978,0.23687478752931262,4.257389068931682,300.3716297294734,0.057389068931681386,0.0,0.007533942229801749,236.0,0.0,4.7601524534309405,0.0,1.675,2.75,2.8125,7.2375,28.69101599290868,0,0,0,False,True,45,3,0.0,True,4320.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,model_shift_004,unseen_parameter_shift,True,4320.0,False,False,True,270.0,,4307.0,4307.0,13.0,False,0.0,0,263.55585219260973,0.9507155691335981,0.9116084487172449,0.9551194338061123,0.019556092300856618,0.10327019203392707,4.261425814597139,300.39978045045694,0.06142581459713892,0.0,0.0051194338061140154,318.5,0.0,6.752987395960346,0.0,2.6125,2.975,2.925,8.5125,33.52915271595145,0,0,0,False,True,48,3,0.0,True,4590.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,model_shift_005,unseen_parameter_shift,True,2790.0,False,False,True,270.0,,2713.0,2713.0,77.0,False,0.0,0,170.22571346628024,0.9531071625919504,0.9654810740880527,0.9227435844473721,0.017955356935845584,0.10737695238878642,4.2799442417030935,299.84638295886043,0.07994424170309333,0.0,0.015481074088083191,500.5,0.0,11.5068473383585,0.0,1.8625,1.3375,1.9,5.1,20.73916222824486,0,0,0,False,True,31,3,0.0,True,3060.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
90.0,qmix_raw,7,model_shift_006,unseen_parameter_shift,True,2520.0,False,False,True,270.0,,2460.0,2460.0,60.0,False,0.0,0,173.62168490009714,0.924183402450317,0.9573617249889399,0.9559763918944825,0.015324324933677256,0.11017898056438646,4.26447360025489,299.8336413281631,0.0644736002548898,0.0,0.0073617249889530445,464.5,0.0,11.01394705951486,0.0,1.75,1.2125,0.9875,3.95,16.198958745447513,0,0,0,False,True,28,3,0.0,True,2790.0,dense sampled approximation incl switch endpoints; not certified continuous maxima
