iteration,best_objective,solver_failures,evaluations
0,2.6949942515118703,0,20
1,2.5729028806460326,0,40
2,1.8399218994724444,0,60
3,1.8399218994724444,0,80
4,1.4541765319637188,0,100
5,1.2314498635087163,0,120
6,1.2314498635087163,0,140
7,1.1514899149321962,0,160
8,1.0700172114405124,0,180
9,0.9838387181061874,0,200
10,0.9838387181061874,0,220
11,0.9838387181061874,0,240
12,0.9838387181061874,0,260
13,0.9146462115327807,0,280
14,0.9146462115327807,0,300
15,0.9146462115327807,0,320
16,0.9146462115327807,0,340
17,0.9146462115327807,0,360
18,0.9146462115327807,0,380
19,0.9146462115327807,0,400
20,0.9112676229364791,0,420
21,0.9112676229364791,0,440
22,0.9111376474074317,0,460
23,0.9103468930288473,0,480
24,0.9088339800633726,0,500
25,0.9088339800633726,0,520
26,0.9061142781136664,0,540
27,0.9037082784478969,0,560
28,0.9014891727141331,0,580
29,0.9004526777564767,0,600
30,0.8984260778232549,0,620
31,0.8972786396206922,0,640
32,0.8972786396206922,0,660
33,0.8967381326508632,0,680
34,0.8938898840796434,0,700
35,0.8874394654901203,0,720
36,0.882439766146019,0,740
37,0.8794181644265138,0,760
38,0.8735756461514239,0,780
39,0.8669974668579676,0,800
40,0.8631396923788736,0,820
41,0.8591992572072842,0,840
42,0.8543302644522073,0,860
43,0.8506788749889043,0,880
44,0.8491743002789794,0,900
45,0.8486753928157919,0,920
46,0.8482116546916219,0,940
47,0.8482116546916219,0,960
48,0.8481673359964759,0,980
49,0.8481228311329516,0,1000
50,0.8481228311329516,0,1020
