scenario,training_episode,first_balance_s,soc_target90_s,soc_target_reached,balance_maintained_after_first,max_std_after_first,final_soc_1,final_soc_2,final_soc_3,final_soc_std,max_voltage_V,max_temperature_K,voltage_violating_cell_intervals,temperature_violating_cell_intervals,constraints_satisfied,charging_task_success,numerical_failure,total_charged_Ah,terminal_input_Wh,lookahead_filter_interventions,final_time_s
B,0,2880.0,2880.0,True,True,0.013803797216174502,0.923480831924128,0.9542852863538952,0.9509564128403242,0.013803797216174502,4.295297777955216,301.4933839987539,14,0,False,False,False,5.4375,22.08274692234785,0,2880.0
B,25,,,False,False,,0.8205476757102499,0.9605083724683282,0.9574747612258673,0.06527482599830278,4.244444957071286,299.3764998522786,5,0,False,False,False,5.05,20.16634968265971,0,5400.0
B,50,,,False,False,,0.9646540944097033,0.5933462917165506,0.7977752257820542,0.15184393677516378,4.264578360188395,300.5814056240961,3,0,False,False,False,3.575,14.220535205623676,0,5400.0
B,75,,,False,False,,0.955831252448508,0.9605083724683282,0.9020687999494383,0.02651511180562911,4.26250067453987,300.5609001635234,6,0,False,False,False,5.4125,21.772660683859755,0,5400.0
B,100,2250.0,,False,False,0.07868304339626075,0.9558312524485071,0.7769273320924421,0.8042935741675168,0.07868304339625586,4.249164522423683,300.96640128930574,3,0,False,False,False,4.3,17.203235476996102,0,5400.0
B,125,2700.0,2700.0,True,True,0.015184051311662075,0.920539884603733,0.9542852863538998,0.9509564128403204,0.015184051311662075,4.318329345750568,301.6027400442643,11,0,False,False,False,5.425,22.085770926697503,0,2700.0
B,150,1350.0,3780.0,True,False,0.03405869571088375,0.9528903051281068,0.913835226610056,0.9248830192985042,0.016437629394096875,4.34525875029949,303.86303217959374,12,0,False,False,False,5.3,21.758638242792273,0,3780.0
B,175,,,False,False,,0.9587721997689075,0.9418391141250078,0.8205894451311662,0.06153832166473724,4.412256516798376,302.74015218902053,13,0,False,False,False,5.037500000000001,20.70676523798061,0,5400.0
B,200,3870.0,3870.0,True,True,0.016656771887237153,0.9646540944096933,0.9262813988389302,0.9574747612258144,0.016656771887237153,4.384152691220171,302.29511142470835,13,0,False,False,False,5.525,22.626694537234087,0,3870.0
