episode,reward,loss,epsilon,steps,soc_target_reached,numerical_failure,constraints_satisfied
1,-93.11245611065087,,0.4975,37,True,False,False
2,-147.25264800613525,,0.495,37,True,False,False
3,-145.16685102866361,,0.4925,37,True,False,False
4,-116.44840340249635,,0.49,39,True,False,False
5,-189.77869913660413,11.504532814025879,0.4875,42,True,False,False
6,-266.8289126617296,5.1724138259887695,0.485,44,True,False,False
7,-280.3879028989509,5.637986660003662,0.4825,44,True,False,False
8,-146.66624507836727,4.19516658782959,0.48,50,False,False,False
9,-193.91078172151478,3.694842576980591,0.4775,41,True,False,False
10,-198.65134082861414,3.652294397354126,0.475,50,False,False,False
11,-180.18732604669722,2.940643548965454,0.4725,45,True,False,False
12,-123.40350061621373,3.116701602935791,0.47,46,True,False,False
13,-155.1529012530849,2.89837908744812,0.4675,47,True,False,False
14,-140.12821502356257,2.7346973419189453,0.46499999999999997,50,False,False,False
15,-154.8408960474079,2.6288249492645264,0.4625,47,True,False,False
16,-159.1703511906083,2.5706260204315186,0.46,50,False,False,False
17,-219.1445788805502,2.5617032051086426,0.4575,50,False,False,False
18,-97.94928312956193,2.519801378250122,0.455,50,False,False,False
19,-131.28743303900106,2.4931583404541016,0.4525,50,False,False,False
20,-140.79073725100878,2.2789535522460938,0.45,50,False,False,False
21,-203.52711092489648,2.1935653686523438,0.4475,50,False,False,False
22,-263.82999174521655,2.251608371734619,0.445,50,False,False,False
23,-133.5861572916469,2.1045238971710205,0.4425,50,False,False,False
24,-147.0103441567333,2.0121309757232666,0.44,50,False,False,False
25,-185.59466441339094,1.9159294366836548,0.4375,50,False,False,False
26,-115.72832570652056,1.886199951171875,0.435,50,False,False,False
27,-266.9141093481989,1.878778338432312,0.4325,50,False,False,False
28,-347.5526751091636,2.1398653984069824,0.43,50,False,False,False
29,-100.23135039352222,2.1479074954986572,0.4275,50,False,False,False
30,-121.61036203062523,2.0630593299865723,0.425,50,False,False,False
31,-130.54442322620366,1.9851120710372925,0.4225,50,False,False,False
32,-101.25888884511717,1.9186465740203857,0.42,50,False,False,False
33,-96.69707995626256,1.899429440498352,0.4175,50,False,False,False
34,-104.20596378150013,1.8500423431396484,0.415,50,False,False,False
35,-83.08973567065028,1.8381022214889526,0.4125,50,False,False,False
36,-277.85911945849756,1.8795275688171387,0.41000000000000003,50,False,False,False
37,-126.61477139265376,1.8237842321395874,0.4075,50,True,False,False
38,-87.5461465532725,1.7959502935409546,0.405,50,True,False,False
39,-174.4128066108965,1.723491907119751,0.40249999999999997,50,False,False,False
40,-179.48578673221704,1.660508155822754,0.4,50,False,False,False
41,-211.5464879445245,1.6233190298080444,0.3975,50,False,False,False
42,-252.68339232333645,1.7279717922210693,0.395,50,False,False,False
43,-214.60999926730116,1.7261825799942017,0.3925,50,False,False,False
44,-194.29354216460843,1.7688162326812744,0.39,50,False,False,False
