time_s,cell,phase,soc,voltage_V,temperature_K,current_A,decision_index
0.0,1,charge,0.09999999999999995,3.2930709153537605,298.15,0.0,-1
0.0,2,charge,0.19999999999999998,3.5034705256019647,298.15,0.0,-1
0.0,3,charge,0.3000000000000011,3.603198342905526,298.15,0.0,-1
0.0,1,charge,0.09999999999999995,3.2930709153537605,298.15,7.0,0
0.0,1,charge,0.10000000000000016,3.460559028015037,298.15,7.0,0
0.0,2,charge,0.19999999999999998,3.5034705256019647,298.15,5.0,0
0.0,2,charge,0.19999999999999973,3.6280468881848638,298.15,5.0,0
0.0,3,charge,0.3000000000000011,3.603198342905526,298.15,3.0,0
0.0,3,charge,0.3000000000000017,3.6852242533569726,298.15,3.0,0
0.9999999999999999,1,charge,0.10045671300488616,3.474522073813307,298.1552519008565,7.0,0
0.9999999999999999,2,charge,0.2003455970246612,3.63165748426679,298.1524109071036,5.0,0
0.9999999999999999,3,charge,0.3002171201089409,3.6880764756887237,298.15081562027336,3.0,0
2.0,1,charge,0.10091342600977271,3.4820339072048707,298.16051477040827,7.0,0
2.0,2,charge,0.20069119404932087,3.634028370003323,298.1548304883161,5.0,0
2.0,3,charge,0.3004342402178803,3.6898479020361092,298.151634353626,3.0,0
3.0,1,charge,0.10137013901465923,3.48801850602393,298.16579263096946,7.0,0
3.0,2,charge,0.20103679107398179,3.6359611487226156,298.15725919230186,5.0,0
3.0,3,charge,0.30065136032682044,3.6912739624983435,298.1524561569098,3.0,0
4.0,1,charge,0.10182685201954493,3.493215135774085,298.17108661389597,7.0,0
4.0,2,charge,0.20138238809864284,3.6376597567753413,298.1596969667555,5.0,0
4.0,3,charge,0.30086848043575987,3.6925161549719965,298.153280937125,3.0,0
5.0,1,charge,0.10228356502443171,3.497911549521709,298.17639720581457,7.0,0
5.0,2,charge,0.20172798512330295,3.6392082979963485,298.162143675393,5.0,0
5.0,3,charge,0.30108560054470035,3.6936406702722717,298.1541086019933,3.0,0
6.0,1,charge,0.1027402780293183,3.5022527838617634,298.18172462986365,7.0,0
6.0,2,charge,0.202073582147964,3.640649829980056,298.1645991575004,5.0,0
