current_A_assumption,cell,fit_kind,seed,objective,success,selected,solver_failures,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,full_V_RMSE,full_T_RMSE,full_coverage,prefix_fit_V_RMSE,prefix_fit_T_RMSE,prefix_fit_coverage,suffix_forecast_V_RMSE,suffix_forecast_T_RMSE,suffix_forecast_coverage,prediction_solver_failure
4.0,1,full_fit,7,7.855445399797762,True,False,0,6.0,5.0,3.98,4.18,4.954520333616822,4.245951323988986,16.65991234830302,0.4,0.01809031486800035,0.8217122034224441,1.0,0.019544513194463587,0.6558860915369058,1.0,0.010422115605321854,1.2861093218261956,1.0,
4.0,1,full_fit,17,2.2286130902472667,True,True,0,5.537393163913825,4.255116593180363,3.98,4.18,4.959028310785056,4.305596668063375,5.0,0.9606763118957055,0.01928652905077453,0.4050972107761283,1.0,0.020601280273190657,0.30580450506221213,1.0,0.012746118975432624,0.6679060258012917,1.0,
4.0,1,full_fit,27,2.2742793919997504,True,False,0,5.000199957439917,4.696281374233266,3.98,4.18,4.954100335614044,4.352722956985827,5.0,0.9578595785728461,0.02031070499976385,0.40519077542751336,1.0,0.021626289487314834,0.30700905880374096,1.0,0.013860567971774863,0.6659791226355272,1.0,
4.0,1,full_fit,37,2.273084302769575,True,False,0,5.0,4.0,3.98,4.18,4.961152851369683,4.352617112124194,5.294215607132684,0.9457377858900406,0.020209063174334435,0.4055717764891675,1.0,0.0215331805464005,0.3032952589814474,1.0,0.013696622248948803,0.6738886770544467,1.0,
4.0,1,full_fit,47,2.2300121189846718,True,False,0,5.516208119317733,4.331759157046532,3.98,4.18,4.958491813466308,4.299012376857039,5.0,0.9601057633456032,0.01933836796807028,0.4045044621414531,1.0,0.02072391273421345,0.3068992727123414,1.0,0.012337709567559547,0.6640946596488781,1.0,
4.0,1,prefix_fit,7,0.6288531259421899,True,False,0,6.0,5.0,3.98,4.18,4.655931648892056,4.418651599354138,13.75764122967986,0.738050082961522,0.07669097168018962,0.3107134990432838,0.9416498993963782,0.018152142710004357,0.15368139928677407,1.0,0.19283506497296268,0.7125413818394486,0.7085427135678392,
4.0,1,prefix_fit,17,0.6364755650811071,True,False,0,5.75122569170929,4.636680970912981,3.98,4.18,4.627665542271219,4.464392065654666,13.723857825545597,0.739910681848842,0.08078567089098462,0.28402785297744215,0.9352783366867874,0.018341812905831756,0.15383118064130033,1.0,0.20752879234047614,0.645922076473169,0.6767169179229481,
4.0,1,prefix_fit,27,0.6390032183447609,True,False,0,5.652539242328228,4.5812225154010955,3.98,4.18,4.630633588630632,4.463267774546782,13.855870883675689,0.7359068984830682,0.08090948681643806,0.2905832759004319,0.9359490274983233,0.018403832338761975,0.15377365680880545,1.0,0.20739438562160634,0.6644967907665591,0.6800670016750419,
4.0,1,prefix_fit,37,0.6248165453023108,True,True,0,5.99860522843156,4.0900484900614344,3.98,4.18,4.654421612070821,4.426496120593482,13.888968234889058,0.7326542709560269,0.07822693725927,0.3058368347044134,0.9396378269617707,0.018045701361225536,0.15367413928502094,1.0,0.19813301495493268,0.7024533990275923,0.6984924623115578,
4.0,1,prefix_fit,47,0.6481027674838922,True,False,0,5.997111637959064,4.269899187182193,3.98,4.18,4.810944878579591,4.34417210657352,13.413089809868351,0.734362519005778,0.04788513260808416,0.4339480607546428,0.9708249496981891,0.018579469705674447,0.15425844064074332,1.0,0.10677904744239752,0.9786018909888551,0.8542713567839196,
4.0,2,full_fit,7,1.816456534156802,True,False,0,5.597116116464736,4.7059907221144694,3.98,4.18,4.6690244461504395,4.308186031689182,6.26632156428298,1.0993669409927689,0.021963126374374274,0.3404277660738778,1.0,0.02340913897523909,0.2861416364822007,1.0,0.014838360217672729,0.5018228060712081,1.0,
4.0,2,full_fit,17,1.8132394320684921,True,False,0,5.745275736213137,4.556128952760395,3.98,4.18,4.66956829447362,4.303583879214871,7.115581515900717,1.0686153630790933,0.021784198387211687,0.34118901725757755,1.0,0.02318679577818057,0.28035259823034187,1.0,0.014915460887620986,0.5172280411649138,1.0,
4.0,2,full_fit,27,1.8056297510632793,True,False,0,6.0,5.0,3.98,4.18,4.667637653551077,4.2753111205802545,5.0,1.1429404820894509,0.021549738504244034,0.34150620493820194,1.0,0.02288574611679809,0.29800064008566346,1.0,0.015071095319811016,0.47730064219040674,1.0,
4.0,2,full_fit,37,1.8027384884109292,True,True,0,6.0,4.112369409284161,3.98,4.18,4.675833177971093,4.276090331790453,5.0,1.141451346229156,0.021472772596837515,0.34160703650233787,1.0,0.022772771970551588,0.298300679576366,1.0,0.015205523229342576,0.4769119790103006,1.0,
