iteration,best_objective,solver_failures,evaluations
0,1.7315084047174716,0,20
1,1.7315084047174716,0,40
2,1.4511245007302884,0,60
3,1.438270283680777,0,80
4,1.3683637814138014,0,100
5,1.3636592041360354,0,120
6,1.359977783607024,0,140
7,1.359977783607024,0,160
8,1.3548871181053395,0,180
9,1.3548871181053395,0,200
10,1.3548871181053395,0,220
11,1.3481037392182043,0,240
12,1.3481037392182043,0,260
13,1.3481037392182043,0,280
14,1.3481037392182043,0,300
15,1.3481037392182043,0,320
16,1.3481037392182043,0,340
17,1.3465448935864948,0,360
18,1.3465448935864948,0,380
19,1.3465448935864948,0,400
20,1.344979484292742,0,420
21,1.344848435576449,0,440
22,1.344848435576449,0,460
23,1.344848435576449,0,480
24,1.3441035252267721,0,500
25,1.3441035252267721,0,520
26,1.3441035252267721,0,540
27,1.3432628634070105,0,560
28,1.3432628634070105,0,580
29,1.3432628634070105,0,600
30,1.3431487506792608,0,620
31,1.3424240125482316,0,640
32,1.3424240125482316,0,660
33,1.3424240125482316,0,680
34,1.3424240125482316,0,700
35,1.3424240125482316,0,720
36,1.3424240125482316,0,740
37,1.3424240125482316,0,760
38,1.3421267724143795,0,780
39,1.3421267724143795,0,800
40,1.3420757650829604,0,820
41,1.3420757650829604,0,840
42,1.3420757650829604,0,860
43,1.3419322966855713,0,880
44,1.341837045429053,0,900
45,1.341837045429053,0,920
46,1.3417741364208662,0,940
47,1.3417741364208662,0,960
48,1.3417741364208662,0,980
49,1.3417459714900686,0,1000
50,1.3417459714900686,0,1020
