phase,algorithm,variant,soc_set,seed,episodes,target_update,beta,max_temperature_k,sample_time_s,time_penalty,balance_scale,voltage_scale,temperature_scale,n_cells,initialization_mode,cell_parameter_file,review_items,implementation_status,required_for_resubmission,replicate_unit,run_order,run_id,command
provenance,qmix,legacy_effective_every_step,B,29,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,110,SUP-110,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 29 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_b_seed_29"""
ablation,qmix,qmix_no_balance,B,43,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,111,SUP-111,
ablation,qmix,qmix_no_balance,A,17,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,112,SUP-112,
ablation,qmix,qmix_no_safety,A,7,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,113,SUP-113,
ablation,qmix,qmix_no_time,A,7,1200,50,0.02,309.0,90,0.0,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,114,SUP-114,
temperature_sensitivity,qmix,tmax_306,A,7,1200,50,0.02,306.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,115,SUP-115,
provenance,qmix,legacy_effective_every_step,B,17,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,116,SUP-116,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 17 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_b_seed_17"""
confirmatory,qmix,full,B,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,117,SUP-117,
ablation,qmix,qmix_no_safety,A,43,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,118,SUP-118,
confirmatory,dql,full,A,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,119,SUP-119,
ablation,qmix,qmix_no_time,B,17,1200,50,0.02,309.0,90,0.0,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,120,SUP-120,
