phase,algorithm,variant,soc_set,seed,episodes,target_update,beta,max_temperature_k,sample_time_s,time_penalty,balance_scale,voltage_scale,temperature_scale,n_cells,initialization_mode,cell_parameter_file,review_items,implementation_status,required_for_resubmission,replicate_unit,run_order,run_id,command
provenance,qmix,legacy_declared,B,29,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,62,SUP-062,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 29 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_b_seed_29"""
ablation,qmix,qmix_no_balance,A,29,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,63,SUP-063,
confirmatory,dql,full,B,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,64,SUP-064,
provenance,qmix,legacy_declared,A,7,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,65,SUP-065,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 7 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_a_seed_7"""
confirmatory,vdn,full,A,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,66,SUP-066,
ablation,qmix,qmix_no_safety,B,29,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,67,SUP-067,
provenance,qmix,legacy_effective_every_step,A,29,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,68,SUP-068,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 29 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_a_seed_29"""
temperature_sensitivity,qmix,tmax_312,A,71,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,69,SUP-069,
provenance,qmix,legacy_declared,B,43,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,70,SUP-070,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 43 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_b_seed_43"""
ablation,qmix,qmix_no_balance,A,71,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,71,SUP-071,
confirmatory,vdn,full,A,7,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,72,SUP-072,
confirmatory,vdn,full,B,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,73,SUP-073,
confirmatory,qmix,full,A,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,74,SUP-074,
provenance,qmix,legacy_declared,B,71,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,75,SUP-075,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 71 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_b_seed_71"""
confirmatory,dql,full,B,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,76,SUP-076,
confirmatory,proportional,full,B,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,77,SUP-077,
provenance,qmix,legacy_effective_every_step,B,71,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,78,SUP-078,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 71 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_b_seed_71"""
temperature_sensitivity,qmix,tmax_312,A,43,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,79,SUP-079,
temperature_sensitivity,qmix,tmax_312,B,43,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,80,SUP-080,
provenance,qmix,legacy_declared,A,43,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,81,SUP-081,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 43 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_a_seed_43"""
confirmatory,proportional,full,B,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,82,SUP-082,
confirmatory,vdn,full,B,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,83,SUP-083,
ablation,qmix,qmix_no_time,A,71,1200,50,0.02,309.0,90,0.0,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,84,SUP-084,
ablation,qmix,qmix_no_safety,A,29,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,85,SUP-085,
ablation,qmix,qmix_no_time,A,43,1200,50,0.02,309.0,90,0.0,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,86,SUP-086,
confirmatory,vdn,full,B,7,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,87,SUP-087,
