current_A_assumption,cell,fit_kind,seed,objective,success,selected,solver_failures,optimizer_reused,objective_mesh,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,full_V_RMSE,full_T_RMSE,full_coverage,prefix_fit_V_RMSE,prefix_fit_T_RMSE,prefix_fit_coverage,suffix_forecast_V_RMSE,suffix_forecast_T_RMSE,suffix_forecast_coverage,prediction_solver_failure
4.0,1,full_fit,7,7.855445399797762,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,5.0,3.98,4.18,4.954520333616822,4.245951323988986,16.65991234830302,0.4,0.01860823497289666,0.8190163668320279,0.999664654594232,0.020165350746222846,0.6559161797456594,1.0,0.010230604131147219,1.2780604576557317,0.998324958123953,
4.0,1,full_fit,17,2.2286130902472667,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.537393163913825,4.255116593180363,3.98,4.18,4.959028310785056,4.305596668063375,5.0,0.9606763118957055,0.019805445596189453,0.4032152791470648,0.999664654594232,0.02125603913637314,0.30586569627822036,1.0,0.012405709913200946,0.6624298680449175,0.998324958123953,
4.0,1,full_fit,27,2.2742793919997504,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.000199957439917,4.696281374233266,3.98,4.18,4.954100335614044,4.352722956985827,5.0,0.9578595785728461,0.02089047334167235,0.4032863197559277,0.999664654594232,0.022359643948311237,0.30700012128814036,1.0,0.013495853379999683,0.66054351125464,0.998324958123953,
4.0,1,full_fit,37,2.273084302769575,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.0,4.0,3.98,4.18,4.961152851369683,4.352617112124194,5.294215607132684,0.9457377858900406,0.02078557453769921,0.40362840623764795,0.999664654594232,0.022265854786686946,0.3032667229995744,1.0,0.013304903618837188,0.6684427170966041,0.998324958123953,
4.0,1,full_fit,47,2.2300121189846718,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.516208119317733,4.331759157046532,3.98,4.18,4.958491813466308,4.299012376857039,5.0,0.9601057633456032,0.019871984425131526,0.4031433284332575,0.999664654594232,0.02139050836996755,0.3065898581240702,1.0,0.0120065940486234,0.6608693746953201,0.998324958123953,
4.0,1,prefix_fit,7,0.6288531259421899,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,5.0,3.98,4.18,4.655931648892056,4.418651599354138,13.75764122967986,0.738050082961522,0.07647013587936767,0.3088948580006405,0.9413145539906104,0.018756910568420708,0.15386741556153807,1.0,0.1921156083333509,0.7077222950941069,0.7068676716917923,
4.0,1,prefix_fit,17,0.6364755650811071,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.75122569170929,4.636680970912981,3.98,4.18,4.627665542271219,4.464392065654666,13.723857825545597,0.739910681848842,0.0811482630306302,0.28328082640520097,0.9352783366867874,0.018958956793092518,0.1538106898499479,1.0,0.2081769581280931,0.6436822908496255,0.6767169179229481,
4.0,1,prefix_fit,27,0.6390032183447609,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.652539242328228,4.5812225154010955,3.98,4.18,4.630633588630632,4.463267774546782,13.855870883675689,0.7359068984830682,0.08128151636270177,0.28984021547763567,0.9359490274983233,0.01904650286821694,0.15380436997614924,1.0,0.2080525040873422,0.6622202353705596,0.6800670016750419,
4.0,1,prefix_fit,37,0.6248165453023108,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.99860522843156,4.0900484900614344,3.98,4.18,4.654421612070821,4.426496120593482,13.888968234889058,0.7326542709560269,0.0786073595997235,0.3050094139427048,0.9396378269617707,0.018645248508718175,0.15386164931612398,1.0,0.19882600135472667,0.699796244312138,0.6984924623115578,
4.0,1,prefix_fit,47,0.6481027674838922,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.997111637959064,4.269899187182193,3.98,4.18,4.810944878579591,4.34417210657352,13.413089809868351,0.734362519005778,0.04792933142278006,0.4329812896984131,0.9704896042924211,0.019189139760756754,0.15445402977892947,1.0,0.10646992407470801,0.9767931999507901,0.8525963149078727,
