time_s,voltage_V,temperature_C
246.0,3.9725,25.3
247.0,3.9722,25.3
248.0,3.9719,25.4
249.0,3.9719,25.4
250.0,3.9713,25.4
251.0,3.9713,25.4
252.0,3.971,25.4
253.0,3.9707,25.4
254.0,3.9704,25.4
255.0,3.9704,25.4
256.0,3.9701,25.4
257.0,3.9701,25.4
258.0,3.9698,25.4
259.0,3.9694,25.4
260.0,3.9691,25.4
261.0,3.9691,25.4
262.0,3.9688,25.4
263.0,3.9688,25.4
264.0,3.9685,25.4
265.0,3.9682,25.4
266.0,3.9682,25.4
267.0,3.9679,25.4
268.0,3.9676,25.4
269.0,3.9676,25.6
270.0,3.9673,25.4
271.0,3.9673,25.4
272.0,3.967,25.4
273.0,3.9667,25.4
274.0,3.9663,25.4
275.0,3.9663,25.4
276.0,3.966,25.4
277.0,3.966,25.4
278.0,3.9657,25.4
279.0,3.9654,25.4
280.0,3.9651,25.4
281.0,3.9651,25.4
282.0,3.9648,25.4
283.0,3.9648,25.4
284.0,3.9645,25.4
285.0,3.9642,25.4
286.0,3.9642,25.4
287.0,3.9639,25.4
288.0,3.9632,25.4
289.0,3.9632,25.4
290.0,3.9629,25.4
291.0,3.9629,25.4
292.0,3.9626,25.4
293.0,3.9623,25.4
294.0,3.9623,25.4
295.0,3.962,25.4
296.0,3.9617,25.4
297.0,3.9614,25.6
298.0,3.9614,25.4
299.0,3.9614,25.6
300.0,3.9611,25.4
301.0,3.9608,25.4
302.0,3.9608,25.4
303.0,3.9605,25.4
304.0,3.9601,25.4
305.0,3.9598,25.4
306.0,3.9598,25.6
307.0,3.9595,25.6
308.0,3.9592,25.6
309.0,3.9592,25.6
310.0,3.9589,25.4
311.0,3.9589,25.6
312.0,3.9586,25.4
313.0,3.9583,25.6
314.0,3.9583,25.4
315.0,3.958,25.6
316.0,3.958,25.6
317.0,3.9577,25.6
318.0,3.9574,25.6
319.0,3.9574,25.6
320.0,3.957,25.4
321.0,3.9567,25.4
322.0,3.9567,25.6
323.0,3.9564,25.6
324.0,3.9561,25.4
325.0,3.9561,25.6
326.0,3.9558,25.6
327.0,3.9552,25.6
328.0,3.9549,25.6
329.0,3.9549,25.6
330.0,3.9546,25.6
331.0,3.9546,25.6
332.0,3.9543,25.6
333.0,3.9539,25.6
334.0,3.9539,25.6
335.0,3.9536,25.6
336.0,3.9533,25.6
337.0,3.953,25.6
338.0,3.953,25.6
339.0,3.9527,25.8
340.0,3.9527,25.6
341.0,3.9524,25.6
342.0,3.9521,25.8
343.0,3.9518,25.6
344.0,3.9518,25.6
345.0,3.9515,25.8
346.0,3.9512,25.6
347.0,3.9512,25.8
348.0,3.9508,25.8
349.0,3.9505,25.6
350.0,3.9502,25.8
351.0,3.9502,25.6
352.0,3.9499,25.6
353.0,3.9496,25.8
354.0,3.9493,25.8
355.0,3.9493,25.6
356.0,3.949,25.6
357.0,3.9487,25.8
358.0,3.9487,25.6
359.0,3.9484,25.8
360.0,3.9481,25.8
361.0,3.9477,25.8
362.0,3.9477,25.8
363.0,3.9471,25.8
364.0,3.9468,25.8
365.0,3.9465,25.8
366.0,3.9465,25.8
367.0,3.9462,25.6
368.0,3.9459,25.8
369.0,3.9456,25.8
370.0,3.9453,25.8
371.0,3.9453,25.8
372.0,3.945,25.8
373.0,3.9446,25.8
374.0,3.9443,25.8
375.0,3.944,25.8
376.0,3.944,25.8
377.0,3.9437,25.8
378.0,3.9434,25.8
379.0,3.9431,25.8
380.0,3.9428,25.8
381.0,3.9428,25.8
382.0,3.9425,25.8
383.0,3.9422,25.8
384.0,3.9419,25.8
385.0,3.9415,25.8
386.0,3.9415,25.8
387.0,3.9412,25.8
388.0,3.9409,25.8
389.0,3.9406,26.0
390.0,3.9403,25.8
391.0,3.94,25.8
392.0,3.94,25.8
393.0,3.9394,25.8
394.0,3.9391,25.8
395.0,3.9388,25.8
396.0,3.9384,25.8
397.0,3.9384,25.8
398.0,3.9381,25.8
399.0,3.9378,26.0
400.0,3.9375,25.8
401.0,3.9372,25.8
402.0,3.9369,25.9
403.0,3.9366,25.8
404.0,3.9363,25.8
405.0,3.936,25.9
406.0,3.9357,25.8
407.0,3.9353,25.8
408.0,3.935,25.9
409.0,3.935,25.8
410.0,3.9344,25.8
411.0,3.9344,25.8
412.0,3.9341,25.9
413.0,3.9338,26.0
414.0,3.9335,25.8
415.0,3.9332,26.0
416.0,3.9329,25.9
417.0,3.9326,25.9
418.0,3.9322,26.0
419.0,3.9319,25.9
420.0,3.9313,25.9
421.0,3.931,25.9
422.0,3.9307,25.9
423.0,3.9304,25.9
424.0,3.9301,26.0
425.0,3.9301,25.9
426.0,3.9298,25.9
427.0,3.9295,25.9
428.0,3.9291,25.9
429.0,3.9288,25.9
430.0,3.9285,25.9
431.0,3.9282,25.9
432.0,3.9279,25.9
433.0,3.9276,25.9
434.0,3.9273,25.9
435.0,3.927,25.9
436.0,3.9267,25.9
437.0,3.9264,25.9
438.0,3.926,25.9
439.0,3.9257,25.9
440.0,3.9254,25.9
441.0,3.9251,25.9
442.0,3.9245,25.9
443.0,3.9245,25.9
444.0,3.9242,25.9
445.0,3.9239,25.9
446.0,3.9233,25.9
447.0,3.9229,25.9
448.0,3.9223,25.9
449.0,3.9223,26.1
450.0,3.922,26.1
451.0,3.9214,25.9
452.0,3.9211,25.9
453.0,3.9211,25.9
454.0,3.9208,25.9
455.0,3.9202,25.9
456.0,3.9198,25.9
457.0,3.9198,25.9
458.0,3.9192,25.9
459.0,3.9189,26.1
460.0,3.9186,26.1
461.0,3.9183,26.1
462.0,3.918,26.1
463.0,3.9177,26.1
464.0,3.9174,26.1
465.0,3.9171,26.1
466.0,3.9164,26.1
467.0,3.9161,26.1
468.0,3.9158,26.1
469.0,3.9152,26.1
470.0,3.9149,26.1
471.0,3.9146,26.1
472.0,3.9143,26.1
473.0,3.9136,26.1
474.0,3.9133,26.1
475.0,3.9133,26.1
476.0,3.9127,26.1
477.0,3.9124,26.1
478.0,3.9121,26.1
479.0,3.9115,26.1
480.0,3.9115,26.1
481.0,3.9109,26.1
482.0,3.9105,26.1
483.0,3.9102,26.1
484.0,3.9099,26.1
485.0,3.9093,26.1
486.0,3.909,26.1
487.0,3.9087,26.1
488.0,3.9084,26.1
489.0,3.9081,26.1
490.0,3.9078,26.3
491.0,3.9071,26.1
492.0,3.9068,26.1
493.0,3.9062,26.1
494.0,3.9059,26.1
495.0,3.9056,26.1
496.0,3.9053,26.1
497.0,3.905,26.3
498.0,3.9046,26.3
499.0,3.9043,26.1
500.0,3.9037,26.1
501.0,3.9034,26.1
502.0,3.9031,26.1
503.0,3.9028,26.1
504.0,3.9025,26.1
505.0,3.9019,26.1
506.0,3.9015,26.1
507.0,3.9012,26.3
508.0,3.9006,26.3
509.0,3.9006,26.3
510.0,3.9,26.1
511.0,3.8997,26.3
512.0,3.8991,26.3
513.0,3.8988,26.3
514.0,3.8981,26.3
515.0,3.8978,26.3
516.0,3.8975,26.1
517.0,3.8972,26.3
518.0,3.8969,26.1
519.0,3.8963,26.1
520.0,3.896,26.1
521.0,3.8957,26.3
522.0,3.8953,26.3
523.0,3.8947,26.1
524.0,3.8944,26.1
525.0,3.8941,26.3
526.0,3.8935,26.3
527.0,3.8932,26.3
528.0,3.8929,26.3
529.0,3.8926,26.3
530.0,3.8919,26.3
531.0,3.8916,26.3
532.0,3.891,26.3
533.0,3.8904,26.3
534.0,3.8901,26.3
535.0,3.8898,26.3
536.0,3.8891,26.3
537.0,3.8888,26.3
538.0,3.8885,26.3
539.0,3.8879,26.3
540.0,3.8876,26.3
541.0,3.8873,26.3
542.0,3.887,26.3
543.0,3.8864,26.3
544.0,3.886,26.3
545.0,3.8857,26.3
546.0,3.8851,26.3
547.0,3.8848,26.3
548.0,3.8845,26.3
549.0,3.8842,26.3
550.0,3.8836,26.3
551.0,3.8829,26.3
552.0,3.8826,26.5
553.0,3.882,26.3
554.0,3.8817,26.3
555.0,3.8814,26.5
556.0,3.8808,26.3
557.0,3.8805,26.3
558.0,3.8802,26.3
559.0,3.8795,26.3
560.0,3.8792,26.5
561.0,3.8789,26.3
562.0,3.8783,26.5
563.0,3.878,26.3
564.0,3.8777,26.3
565.0,3.8774,26.3
566.0,3.8767,26.5
567.0,3.8761,26.5
568.0,3.8758,26.3
569.0,3.8755,26.5
570.0,3.8749,26.3
571.0,3.8743,26.3
572.0,3.874,26.5
573.0,3.8733,26.5
574.0,3.873,26.5
575.0,3.8727,26.5
576.0,3.8721,26.5
577.0,3.8718,26.5
578.0,3.8715,26.5
579.0,3.8712,26.5
580.0,3.8705,26.5
581.0,3.8702,26.5
582.0,3.8699,26.5
583.0,3.8696,26.5
584.0,3.869,26.5
585.0,3.8687,26.5
586.0,3.8681,26.5
587.0,3.8678,26.5
588.0,3.8671,26.5
589.0,3.8665,26.5
590.0,3.8662,26.5
591.0,3.8659,26.5
592.0,3.8656,26.5
593.0,3.865,26.5
594.0,3.8647,26.5
595.0,3.864,26.5
596.0,3.864,26.5
597.0,3.8634,26.5
598.0,3.8631,26.5
599.0,3.8625,26.5
600.0,3.8622,26.5
601.0,3.8619,26.5
602.0,3.8612,26.5
603.0,3.8609,26.5
604.0,3.8606,26.5
605.0,3.8603,26.5
606.0,3.8597,26.5
607.0,3.8591,26.5
608.0,3.8588,26.5
609.0,3.8585,26.5
610.0,3.8578,26.5
611.0,3.8575,26.5
612.0,3.8572,26.5
613.0,3.8566,26.5
614.0,3.8563,26.5
615.0,3.8557,26.5
616.0,3.8554,26.5
617.0,3.8547,26.5
618.0,3.8544,26.5
619.0,3.8541,26.5
620.0,3.8538,26.5
621.0,3.8535,26.5
622.0,3.8529,26.5
623.0,3.8526,26.5
624.0,3.8523,26.5
625.0,3.8516,26.5
626.0,3.851,26.6
627.0,3.8507,26.7
628.0,3.8501,26.7
629.0,3.8498,26.7
630.0,3.8495,26.7
631.0,3.8492,26.5
632.0,3.8485,26.7
633.0,3.8482,26.7
634.0,3.8479,26.7
635.0,3.8473,26.7
636.0,3.847,26.6
637.0,3.8467,26.7
638.0,3.8464,26.5
639.0,3.8461,26.7
640.0,3.8454,26.7
641.0,3.8451,26.7
642.0,3.8448,26.7
643.0,3.8445,26.7
644.0,3.8439,26.7
645.0,3.8436,26.7
646.0,3.843,26.7
647.0,3.8423,26.5
648.0,3.842,26.7
649.0,3.8417,26.6
650.0,3.8414,26.7
651.0,3.8411,26.6
652.0,3.8405,26.7
653.0,3.8402,26.6
654.0,3.8399,26.7
655.0,3.8395,26.6
656.0,3.8389,26.6
657.0,3.8386,26.7
658.0,3.8383,26.7
659.0,3.838,26.6
660.0,3.8377,26.7
661.0,3.8374,26.7
662.0,3.8368,26.6
663.0,3.8364,26.6
664.0,3.8361,26.7
665.0,3.8358,26.7
666.0,3.8355,26.6
667.0,3.8346,26.6
668.0,3.8343,26.6
669.0,3.834,26.8
670.0,3.8337,26.6
671.0,3.833,26.6
672.0,3.8327,26.6
673.0,3.8324,26.6
674.0,3.8321,26.6
675.0,3.8318,26.6
676.0,3.8315,26.6
677.0,3.8309,26.8
678.0,3.8306,26.6
679.0,3.8302,26.6
680.0,3.8299,26.6
681.0,3.8296,26.8
682.0,3.829,26.8
683.0,3.8287,26.6
684.0,3.8284,26.6
685.0,3.8281,26.6
686.0,3.8278,26.6
687.0,3.8275,26.6
688.0,3.8265,26.8
689.0,3.8262,26.6
690.0,3.8259,26.8
691.0,3.8256,26.8
692.0,3.8253,26.8
693.0,3.825,26.8
694.0,3.8247,26.8
695.0,3.824,26.8
696.0,3.8237,26.8
697.0,3.8234,26.8
698.0,3.8231,26.8
699.0,3.8228,26.8
700.0,3.8225,26.6
701.0,3.8219,26.8
702.0,3.8216,26.8
703.0,3.8213,26.8
704.0,3.8209,26.8
705.0,3.8206,26.8
706.0,3.8203,26.8
707.0,3.82,26.8
708.0,3.8197,26.8
709.0,3.8194,26.8
710.0,3.8185,26.8
711.0,3.8185,26.8
712.0,3.8178,26.8
713.0,3.8175,26.8
714.0,3.8172,26.8
715.0,3.8169,26.8
716.0,3.8166,26.8
717.0,3.8163,26.8
718.0,3.816,26.8
719.0,3.8157,26.8
720.0,3.8154,26.8
721.0,3.8147,26.8
722.0,3.8147,26.8
723.0,3.8141,26.8
724.0,3.8138,26.8
725.0,3.8135,27.0
726.0,3.8132,26.8
727.0,3.8129,26.8
728.0,3.8126,26.8
729.0,3.8123,26.8
730.0,3.8116,26.8
731.0,3.8116,26.8
732.0,3.8113,26.8
