time_s,voltage_V,temperature_C
0.0,4.1189,25.0
1.0,4.1189,25.0
2.0,4.113955585374035,24.9
3.0,4.110272358269037,25.0
4.0,4.10669647769205,25.0
5.0,4.1036199597450524,25.0
6.0,4.10110318685005,24.9
7.0,4.098457497484066,25.0
8.0,4.096190405904059,25.0
9.0,4.094134015431063,24.9
10.0,4.092038007380074,25.0
11.0,4.090101107011071,25.0
12.0,4.08850382422006,25.0
13.0,4.0868285810130836,25.0
14.0,4.085204461590071,24.9
15.0,4.083556055015096,24.9
16.0,4.081905098960081,25.0
17.0,4.0805413619590745,24.9
18.0,4.079324589064072,25.0
19.0,4.078019792016102,25.0
20.0,4.0765063737001,25.0
21.0,4.075115800067092,25.0
22.0,4.073885608856089,25.0
23.0,4.07279439785307,25.0
24.0,4.071846628648105,25.0
25.0,4.070606373700101,25.0
26.0,4.069484971486078,25.0
27.0,4.068549178128145,25.0
28.0,4.067045353908084,25.0
29.0,4.066172827910098,25.0
30.0,4.065206373700101,24.9
31.0,4.064047903388125,25.0
32.0,4.063166118752097,25.0
33.0,4.062207011070111,25.0
34.0,4.061326501174103,25.0
35.0,4.060208923180141,25.0
36.0,4.059207648440121,25.0
37.0,4.058317074807111,25.0
38.0,4.057447266018115,25.0
39.0,4.056784971486079,25.0
40.0,4.055941831600134,25.0
41.0,4.055225226434082,25.0
42.0,4.054468030862127,25.0
43.0,4.053542468970144,25.0
44.0,4.052785608856088,25.0
45.0,4.051911472660182,25.0
46.0,4.051025863804092,25.0
47.0,4.050276652130157,25.0
48.0,4.049466118752097,25.0
49.0,4.048779369339148,25.0
50.0,4.0480063737001,25.0
51.0,4.04739758470312,25.0
52.0,4.046669942972157,25.0
53.0,4.0458667561221064,25.0
54.0,4.045286883596109,25.0
55.0,4.0446450184501845,25.0
56.0,4.043690707816169,25.0
57.0,4.042873633009058,25.0
58.0,4.042567393492117,25.0
59.0,4.041981281449178,25.0
60.0,4.041111472660181,25.0
61.0,4.040432405233143,25.0
62.0,4.039847903388124,25.0
63.0,4.039268030862127,25.0
64.0,4.038688158336129,25.0
65.0,4.038108285810131,25.0
66.0,4.037449815498155,25.2
67.0,4.036848540758134,25.2
68.0,4.036053002348205,25.1
69.0,4.0353887957061385,25.0
70.0,4.034743743710164,25.0
71.0,4.034129050654143,25.0
72.0,4.033549178128145,25.0
73.0,4.033134652801073,25.0
74.0,4.032689433076149,25.0
75.0,4.0321095605501505,25.0
76.0,4.031619792016102,25.1
77.0,4.031149815498154,25.2
78.0,4.030569942972157,25.2
79.0,4.029990070446159,25.2
80.0,4.0294101979201615,25.2
81.0,4.028717208990272,25.2
82.0,4.027850452868165,25.2
83.0,4.0273352901710835,25.0
84.0,4.027045353908084,25.2
85.0,4.026710835290171,25.0
86.0,4.0261309627641735,25.2
87.0,4.025567393492117,25.2
88.0,4.0251712177121775,25.2
89.0,4.02459567259309,25.2
90.0,4.024305736330091,25.2
91.0,4.023731600134183,25.2
92.0,4.023425863804092,25.2
93.0,4.022871855082188,25.2
94.0,4.022545991278094,25.2
95.0,4.021930795035223,25.2
96.0,4.021566118752096,25.0
97.0,4.021052364978195,25.1
98.0,4.020472492452197,25.2
99.0,4.0198926199262,25.2
100.0,4.019506373700101,25.2
101.0,4.018971687353237,25.2
102.0,4.018526501174103,25.2
103.0,4.018236564911104,25.2
104.0,4.0179466286481045,25.2
105.0,4.017513384770211,25.2
106.0,4.017066756122106,25.2
107.0,4.016653639718215,25.2
108.0,4.0161491781281455,25.2
109.0,4.015693894666219,25.2
110.0,4.01520701107011,25.2
111.0,4.014917074807111,25.2
112.0,4.014627138544113,25.2
113.0,4.014274404562228,25.2
114.0,4.013747266018115,25.2
115.0,4.01340043609527,25.2
116.0,4.0128,25.2
117.0,4.0127323716873535,25.2
118.0,4.011887520966119,25.2
119.0,4.01159758470312,25.2
120.0,4.011307648440121,25.2
121.0,4.0110177121771216,25.2
122.0,4.010455551828246,25.1
123.0,4.010137839651124,25.2
124.0,4.009763871184166,25.1
125.0,4.009457967125126,25.1
126.0,4.0089360617242535,25.2
127.0,4.008578094599128,25.1
128.0,4.008288158336129,25.1
129.0,4.00799822207313,25.2
130.0,4.007708285810131,25.1
131.0,4.007418349547132,25.1
132.0,4.007128413284133,25.1
133.0,4.006623113049312,25.2
134.0,4.006148540758135,25.3
135.0,4.005858604495136,25.3
136.0,4.0055686682321365,25.3
137.0,4.005278731969137,25.2
138.0,4.004877591412278,25.2
139.0,4.00439885944314,25.1
140.0,4.004108923180141,25.1
141.0,4.003791982556189,25.2
142.0,4.003429050654143,25.3
143.0,4.003139114391144,25.3
144.0,4.0028491781281454,25.3
145.0,4.002559241865146,25.3
146.0,4.002269305602147,25.3
147.0,4.001979369339148,25.3
148.0,4.001689433076149,25.3
149.0,4.00139949681315,25.1
150.0,4.001109560550151,25.3
151.0,4.000819624287152,25.3
152.0,4.000439584032204,25.3
153.0,4.000139751761154,25.3
154.0,3.999849815498155,25.3
155.0,3.999559879235156,25.1
156.0,3.999269942972157,25.3
157.0,3.998980006709158,25.2
158.0,3.998690070446159,25.2
159.0,3.99840013418316,25.3
160.0,3.998110197920161,25.3
161.0,3.997820261657162,25.3
162.0,3.9974737671922176,25.3
163.0,3.997140389131164,25.3
164.0,3.99670090573633,25.3
165.0,3.9964,25.3
