current_A_assumption,cell,fit_kind,parameter_index,parameter_name,fixed,optimizer_runs,scaled_mean,scaled_std,scaled_min,scaled_max,physical_mean,physical_std,fraction_at_bound,interpretation
4.0,2,prefix_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.517818029424447,0.31196709274275797,4.207684251462079,5.0,4.517818029424447e-14,3.1196709274275797e-15,0.2,"optimizer variability, not physical parameter uncertainty"
4.0,2,prefix_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,2,prefix_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,2,prefix_fit,4,Negative electrode active material volume fraction,False,5,5.053298009845619,0.9460955710834628,4.5,6.684756951292428,0.5053298009845619,0.09460955710834629,0.6,"optimizer variability, not physical parameter uncertainty"
4.0,2,prefix_fit,5,Positive electrode active material volume fraction,False,5,4.199137424164411,0.18179385977522436,4.0,4.334378996701877,0.4199137424164411,0.018179385977522437,0.4,"optimizer variability, not physical parameter uncertainty"
4.0,2,prefix_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,16.20623179112196,1.1730812500260552,14.2048890703562,17.04091227506057,16.20623179112196,1.1730812500260552,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,2,prefix_fit,7,Heat capacity multiplier,False,5,0.8311125238739215,0.03980376391450394,0.7653672554860337,0.8686192557770204,0.8311125238739215,0.03980376391450394,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,full_fit,0,Positive electrode diffusivity [m2.s-1],False,5,6.0,0.0,6.0,6.0,6.0000000000000005e-15,0.0,1.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,full_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.0,0.0,4.0,4.0,4e-14,0.0,1.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,full_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
