iteration,best_objective,solver_failures,evaluations
0,5.857044576241284,0,20
1,5.857044576241284,0,40
2,4.319566491334334,0,60
3,2.997363529945769,0,80
4,1.857206368338764,0,100
5,1.3466459536276552,0,120
6,1.3466459536276552,0,140
7,1.3259500388045495,0,160
8,1.3259500388045495,0,180
9,1.3259500388045495,0,200
10,1.3259500388045495,0,220
11,1.3173395256090634,0,240
12,1.3173395256090634,0,260
13,1.3173395256090634,0,280
14,1.316188998172099,0,300
15,1.2482939666576014,0,320
16,1.2336704041892497,0,340
17,1.2176549365182825,0,360
18,1.2069051304563092,0,380
19,1.2069051304563092,0,400
20,1.2069051304563092,0,420
21,1.2063532649882598,0,440
22,1.2063532649882598,0,460
23,1.2063532649882598,0,480
24,1.204665474481383,0,500
25,1.2031675430653594,0,520
26,1.2031675430653594,0,540
27,1.2031675430653594,0,560
28,1.2011645775087472,0,580
29,1.2008479868172128,0,600
30,1.1945604322975232,0,620
31,1.180755931867326,0,640
32,1.1733065356649608,0,660
33,1.1602957431545609,0,680
34,1.1423672750523286,0,700
35,1.1177529009240783,0,720
36,1.1008096586397391,0,740
37,1.0965237240722254,0,760
38,1.0802756740636046,0,780
39,1.0520874485456053,0,800
40,1.0149164083160636,0,820
41,1.0072447747687618,0,840
42,0.9587489380245006,0,860
43,0.9251822961056713,0,880
44,0.9005927685121797,0,900
45,0.8875686263912037,0,920
46,0.8706035969359067,0,940
47,0.8603410276865076,0,960
48,0.8586301254204005,0,980
49,0.8581627159174744,0,1000
50,0.8575467231914093,0,1020
