time_s,cell,phase,soc,voltage_V,temperature_K,current_A,decision_index
0.0,1,charge,0.3786052254271628,3.6487158392200536,298.15,0.0,-1
0.0,2,charge,0.3942037745452513,3.681797952339033,298.15,0.0,-1
0.0,3,charge,0.4013040243986275,3.6935280348115196,298.15,0.0,-1
0.0,1,charge,0.3786052254271628,3.6487158392200536,298.15,3.0,0
0.0,1,charge,0.37860522542716213,3.723872781047315,298.15,3.0,0
0.0,2,charge,0.3942037745452513,3.681797952339033,298.15,3.0,0
0.0,2,charge,0.3942037745452502,3.7589079668466754,298.15,3.0,0
0.0,3,charge,0.4013040243986275,3.6935280348115196,298.15,3.0,0
0.0,3,charge,0.40130402439862817,3.7725839074467853,298.15,3.0,0
0.9999999999999999,1,charge,0.3788009595721142,3.7261341605590386,298.1510121955864,3.0,0
0.9999999999999999,2,charge,0.39441113276004663,3.761509882726998,298.15089602881596,3.0,0
0.9999999999999999,3,charge,0.4015211445075681,3.7754104595225266,298.1507863380181,3.0,0
2.0,1,charge,0.37899669371706457,3.7276394109021647,298.15202866267305,3.0,0
2.0,2,charge,0.3946184909748431,3.763244674387704,298.1517958145879,3.0,0
2.0,3,charge,0.40173826461650564,3.7772925129963104,298.15157598111006,3.0,0
3.0,1,charge,0.3791924278620167,3.7288558809711416,298.1530492561846,3.0,0
3.0,2,charge,0.3948258491896395,3.7646397294511598,298.15269922083303,3.0,0
3.0,3,charge,0.40195538472544684,3.77880110411256,298.1523688118354,3.0,0
4.0,1,charge,0.3793881620069667,3.7299168380382994,298.15407382339623,3.0,0
4.0,2,charge,0.3950332074044359,3.765852503684012,298.1536061101263,3.0,0
4.0,3,charge,0.4021725048343867,3.7801096149730204,298.1531647119852,3.0,0
5.0,1,charge,0.3795838961519188,3.730877833329494,298.1551022256583,3.0,0
5.0,2,charge,0.3952405656192323,3.7669486749866437,298.1545163590322,3.0,0
5.0,3,charge,0.4023896249433256,3.781290410895685,298.153963575435,3.0,0
6.0,1,charge,0.3797796302968702,3.7317673280762698,298.1561343362661,3.0,0
6.0,2,charge,0.39544792383402877,3.76796182881656,298.1554298553101,3.0,0
6.0,3,charge,0.4026067450522652,3.7823804710244886,298.15476530571266,3.0,0
7.0,1,charge,0.37997536444182234,3.732601989283417,298.15717003783726,3.0,0
7.0,2,charge,0.3956552820488252,3.768911601567695,298.15634649527965,3.0,0
7.0,3,charge,0.40282386516120633,3.7834014018965414,298.15556981371844,3.0,0
7.999999999999999,1,charge,0.38017109858677234,3.7333926169640685,298.15820922028496,3.0,0
7.999999999999999,2,charge,0.3958626402636216,3.76981069645809,298.1572661818886,3.0,0
7.999999999999999,3,charge,0.4030409852701463,3.7843671691920884,298.1563770160569,3.0,0
9.0,1,charge,0.38036683273172484,3.7341465347268086,298.1592517793182,3.0,0
9.0,2,charge,0.39606999847841806,3.770667712246529,298.1581888233223,3.0,0
9.0,3,charge,0.4032581053790838,3.7852872195896436,298.1571868338377,3.0,0
10.0,1,charge,0.38056256687667483,3.734869092567629,298.1602976153041,3.0,0
10.0,2,charge,0.3962773566932145,3.7714889251153503,298.1591143319567,3.0,0
10.0,3,charge,0.40347522548802506,3.7861684448772177,298.15799919177283,3.0,0
11.0,1,charge,0.380758301021627,3.7355642925836707,298.16134663241934,3.0,0
11.0,2,charge,0.39648471490801096,3.772279023593612,298.1600426235882,3.0,0
11.0,3,charge,0.40369234559696493,3.7870159899744276,298.1588140175126,3.0,0
12.0,1,charge,0.380954035166577,3.7362352205056375,298.1623987380195,3.0,0
12.0,2,charge,0.39669207312280746,3.7730416186621962,298.16097361686195,3.0,0
12.0,3,charge,0.4039094657059038,3.787833815529482,298.1596312411539,3.0,0
13.0,1,charge,0.38114976931152916,3.7368843391000537,298.1634538421429,3.0,0
13.0,2,charge,0.3968994313376039,3.77377958991005,298.1619072328233,3.0,0
13.0,3,charge,0.4041265858148434,3.7886250784671542,298.1604507948538,3.0,0
14.0,1,charge,0.38134550345648127,3.737513640355206,298.164511857161,3.0,0
14.0,2,charge,0.3971067895524003,3.7744952634572018,298.1628433946026,3.0,0
14.0,3,charge,0.40434370592378455,3.7893923272234398,298.16127261255843,3.0,0
15.0,1,charge,0.38154123760143127,3.738124758721827,298.1655726975258,3.0,0
15.0,2,charge,0.3973141477671968,3.7751905452840004,298.1637820271876,3.0,0
15.0,3,charge,0.4045608260327245,3.7901376487890457,298.1620966298073,3.0,0
16.0,1,charge,0.38173697174638377,3.7387190629405165,298.16663627957246,3.0,0
16.0,2,charge,0.3975215059819932,3.7758670291513132,298.1647230572446,3.0,0
16.0,3,charge,0.40477794614166196,3.7908627869312577,298.1629227835793,3.0,0
17.0,1,charge,0.38193270589133377,3.7392977205625595,298.1677025213719,3.0,0
17.0,2,charge,0.39772886419678966,3.7765260726089656,298.1656664129844,3.0,0
17.0,3,charge,0.4049950662506032,3.79156922588517,298.16375101217784,3.0,0
18.0,1,charge,0.38212844003628593,3.7398617382161556,298.1687713426334,3.0,0
18.0,2,charge,0.3979362224115861,3.7771688439223476,298.16661202407454,3.0,0
18.0,3,charge,0.40521218635954315,3.7922582417034434,298.16458125515544,3.0,0
19.0,1,charge,0.3823241741812359,3.7404119915674787,298.16984266464334,3.0,0
19.0,2,charge,0.3981435806263826,3.7777963571833615,298.16755982158185,3.0,0
19.0,3,charge,0.40542930646848196,3.7929309408432186,298.1654134532649,3.0,0
20.0,1,charge,0.3825199083261894,3.7409492505174207,298.17091641022347,3.0,0
20.0,2,charge,0.39835093884117906,3.778409501896528,298.16850973793436,3.0,0
20.0,3,charge,0.40564642657742156,3.793588292707148,298.1662475484262,3.0,0
21.0,1,charge,0.3827156424711394,3.7414742011780757,298.17199250369504,3.0,0
