scenario,training_episode,first_balance_s,soc_target90_s,soc_target_reached,balance_maintained_after_first,max_std_after_first,final_soc_1,final_soc_2,final_soc_3,final_soc_std,max_voltage_V,max_temperature_K,voltage_violating_cell_intervals,temperature_violating_cell_intervals,constraints_satisfied,charging_task_success,total_charged_Ah,terminal_input_Wh,lookahead_filter_interventions,final_time_s
A,0,3780.0,3780.0,True,True,0.015381433595821725,0.9293471443519037,0.9623280490185334,0.9616123611243486,0.015381433595821725,4.308823864541672,302.32351185645973,15,0,False,False,9.125,36.05524152905294,0,3780.0
A,25,,,False,False,,0.36468525883572095,0.333796351460391,0.41081192255290055,0.031645943912863427,3.7408926581286446,298.6047608343047,0,0,True,False,2.0875,7.508513171327714,0,5400.0
A,50,,,False,False,,0.8528825140215971,0.934324161503556,0.3879977032037851,0.2406526377056219,4.183416521629102,300.3593926548498,0,0,True,False,6.4875,25.01556738127177,0,5400.0
A,75,810.0,,False,False,0.17828731873889073,0.9705204068374768,0.9156549031602531,0.6324357676585849,0.1481457711013001,4.313741855736328,303.1177023772073,7,0,False,False,7.85,30.73865635076671,0,5400.0
