episode,reward,loss,epsilon,steps,soc_target_reached,constraints_satisfied
1,-93.11245611065087,,0.4975,37,True,False
2,-147.25264800613525,,0.495,37,True,False
3,-145.16685102866361,,0.4925,37,True,False
4,-116.44840340249635,,0.49,39,True,False
5,-189.77869913660413,11.504532814025879,0.4875,42,True,False
6,-266.8289126617296,5.1724138259887695,0.485,44,True,False
7,-280.3879028989509,5.637986660003662,0.4825,44,True,False
8,-146.66624507836727,4.19516658782959,0.48,50,False,False
9,-193.91078172151478,3.694842576980591,0.4775,41,True,False
10,-198.65134082861414,3.652294397354126,0.475,50,False,False
11,-180.18732604669722,2.940643548965454,0.4725,45,True,False
12,-123.40350061621373,3.116701602935791,0.47,46,True,False
13,-155.1529012530849,2.89837908744812,0.4675,47,True,False
14,-140.12821502356257,2.7346973419189453,0.46499999999999997,50,False,False
15,-154.8408960474079,2.6288249492645264,0.4625,47,True,False
16,-159.1703511906083,2.5706260204315186,0.46,50,False,False
17,-219.1445788805502,2.5617032051086426,0.4575,50,False,False
18,-97.94928312956193,2.519801378250122,0.455,50,False,False
19,-131.28743303900106,2.4931583404541016,0.4525,50,False,False
20,-140.79073725100878,2.2789535522460938,0.45,50,False,False
21,-203.52711092489648,2.1935653686523438,0.4475,50,False,False
22,-263.82999174521655,2.251608371734619,0.445,50,False,False
23,-133.5861572916469,2.1045238971710205,0.4425,50,False,False
24,-147.0103441567333,2.0121309757232666,0.44,50,False,False
25,-185.59466441339094,1.9159294366836548,0.4375,50,False,False
26,-115.72832570652056,1.886199951171875,0.435,50,False,False
27,-266.9141093481989,1.878778338432312,0.4325,50,False,False
28,-347.5526751091636,2.1398653984069824,0.43,50,False,False
29,-100.23135039352222,2.1479074954986572,0.4275,50,False,False
30,-121.61036203062523,2.0630593299865723,0.425,50,False,False
31,-130.54442322620366,1.9851120710372925,0.4225,50,False,False
32,-101.25888884511717,1.9186465740203857,0.42,50,False,False
33,-96.69707995626256,1.899429440498352,0.4175,50,False,False
34,-104.20596378150013,1.8500423431396484,0.415,50,False,False
35,-83.08973567065028,1.8381022214889526,0.4125,50,False,False
36,-277.85911945849756,1.8795275688171387,0.41000000000000003,50,False,False
37,-126.61477139265376,1.8237842321395874,0.4075,50,True,False
38,-87.5461465532725,1.7959502935409546,0.405,50,True,False
39,-174.4128066108965,1.723491907119751,0.40249999999999997,50,False,False
40,-179.48578673221704,1.660508155822754,0.4,50,False,False
41,-211.5464879445245,1.6233190298080444,0.3975,50,False,False
42,-252.68339232333645,1.7279717922210693,0.395,50,False,False
43,-214.60999926730116,1.7261825799942017,0.3925,50,False,False
44,-194.29354216460843,1.7688162326812744,0.39,50,False,False
45,-227.49651153614818,1.720484972000122,0.3875,50,False,False
46,-160.71572860384987,1.7174067497253418,0.385,50,False,False
47,-85.26885582314425,1.7262879610061646,0.3825,50,False,False
48,-137.99934230395638,1.7091788053512573,0.38,50,False,False
49,-187.19796663427064,1.690704584121704,0.3775,50,False,False
50,-175.37773708805733,1.7518211603164673,0.375,50,False,False
51,-160.49380944595717,9.912996292114258,0.3725,50,False,False
52,-88.12411579247699,6.612759113311768,0.37,50,False,False
53,-167.21759687512977,4.193289756774902,0.3675,50,True,False
54,-231.80096585786612,2.8146533966064453,0.365,50,False,False
55,-75.82856232112763,2.520442008972168,0.3625,50,False,False
56,-161.35716023271752,2.565950393676758,0.36,50,False,False
57,-104.37501132145219,2.336056709289551,0.35750000000000004,50,False,False
58,-149.01088610917265,2.4676907062530518,0.355,50,False,False
59,-96.46366997673086,2.250983715057373,0.35250000000000004,50,False,False
60,-126.75625990999475,2.3373215198516846,0.35,50,False,False
61,-193.4925255000431,2.206432580947876,0.34750000000000003,50,False,False
62,-268.40443769504753,2.5918262004852295,0.345,50,False,False
63,-216.72107322813142,2.4504146575927734,0.3425,50,False,False
64,-207.0792660917927,2.5156354904174805,0.33999999999999997,50,False,False
65,-198.36348986287294,2.4741923809051514,0.3375,50,False,False
66,-295.5185366968211,2.7665536403656006,0.33499999999999996,50,False,False
67,-210.88981489594394,2.6371147632598877,0.3325,50,False,False
68,-250.8924886886501,2.7742979526519775,0.32999999999999996,50,False,False
69,-211.58895558288958,2.6120591163635254,0.3275,50,False,False
70,-223.5691975254184,2.702242851257324,0.325,50,False,False
71,-139.1859300488883,2.535858154296875,0.3225,50,False,False
72,-134.58958871187488,2.5009982585906982,0.32,50,False,False
73,-105.22922784123814,2.4090094566345215,0.3175,45,True,False
74,-188.1423893202446,2.356271266937256,0.315,50,False,False
75,-127.25062170376592,2.311879873275757,0.3125,50,True,False
76,-209.02419111166918,2.257053852081299,0.31,50,False,False
77,-98.93288437619954,2.2416298389434814,0.3075,47,True,False
78,-127.39383169624558,2.1414449214935303,0.305,50,False,False
79,-135.4239242042172,2.13443660736084,0.3025,47,True,False
80,-151.84566754512193,2.0387442111968994,0.3,50,True,False
81,-188.30179445546375,2.032824754714966,0.2975,50,False,False
82,-164.61468738822086,1.9691307544708252,0.29500000000000004,50,False,False
83,-136.73376075286356,1.9515564441680908,0.2925,49,True,False
84,-136.29078416738477,1.8832027912139893,0.29000000000000004,49,True,False
85,-156.4021630844915,1.8848109245300293,0.2875,48,True,False
86,-132.9271846590225,1.811631202697754,0.28500000000000003,50,False,False
