time_s,measured_V,fitted_V,measured_C,fitted_C,model_covers_time
0.0,4.1145,4.078615354886425,24.8,24.80000000000001,True
1.0,4.1145,4.075439524729814,24.8,24.805987531656342,True
2.0,4.1083,4.072381889904398,24.8,24.811983202470685,True
3.0,4.1037,4.069440991935116,24.8,24.817987655365812,True
4.0,4.0997,4.066615101652105,24.7,24.824001057898556,True
5.0,4.0966,4.063900369935678,24.8,24.830023299248126,True
6.0,4.0935,4.061291775166297,24.8,24.836054101521086,True
7.0,4.0907,4.0587838982985875,24.8,24.842093100403815,True
8.0,4.0882,4.056371375321152,24.9,24.848139891943617,True
9.0,4.086,4.054049023234172,24.7,24.854194044657504,True
10.0,4.0838,4.051811880209608,24.8,24.860255109707566,True
11.0,4.0817,4.04965524327416,24.8,24.866322625183443,True
12.0,4.0801,4.047574698384288,24.7,24.872396126377964,True
13.0,4.0783,4.045566133868983,24.7,24.87847515233011,True
14.0,4.0767,4.0436257144462715,24.8,24.884559246158062,True
15.0,4.0749,4.041749876171383,24.7,24.890647956375574,True
16.0,4.0733,4.039935286191078,24.7,24.896740840008647,True
17.0,4.0718,4.038178814501914,24.7,24.902837461252545,True
18.0,4.0705,4.03647759428377,24.7,24.908937391073152,True
19.0,4.069,4.03482887964203,24.7,24.91504021210494,True
20.0,4.0674,4.033230200305902,24.7,24.92114551255139,True
21.0,4.0662,4.031679148413904,24.8,24.927252895396407,True
22.0,4.0649,4.030173563690062,24.8,24.93336196957307,True
23.0,4.0637,4.02871130558793,24.7,24.939472359077172,True
24.0,4.0625,4.027290490680365,24.7,24.94558369433571,True
25.0,4.0612,4.025909352711981,24.8,24.95169561656604,True
26.0,4.0597,4.024566071013464,24.9,24.95780778013267,True
27.0,4.0587,4.0232591442917265,24.8,24.963919845898488,True
28.0,4.0578,4.021987133086719,24.8,24.970031485429388,True
29.0,4.0566,4.020748512654926,24.7,24.976142382177272,True
30.0,4.0559,4.019542027222182,25.0,24.982252227261085,True
31.0,4.0547,4.018366446010078,24.9,24.988360722073708,True
32.0,4.0538,4.017220558291391,24.9,24.994467576642307,True
33.0,4.0528,4.016103254859802,24.9,25.000572510980533,True
34.0,4.0516,4.015013466790505,24.9,25.006675254065726,True
35.0,4.0507,4.013950222708215,24.8,25.012775541597364,True
36.0,4.0497,4.012912565280248,24.9,25.018873119074158,True
37.0,4.0488,4.011899581891887,24.9,25.024967740121156,True
38.0,4.0479,4.010910447945427,24.8,25.03105916516955,True
39.0,4.0473,4.0099443634045855,24.7,25.037147162577696,True
40.0,4.0463,4.009000560886988,24.8,25.04323150814662,True
41.0,4.0454,4.008078328601591,24.7,25.04931198543045,True
42.0,4.0448,4.007176986580193,24.9,25.055388384523212,True
43.0,4.0435,4.006295882547143,24.9,25.06146050170497,True
44.0,4.0429,4.005434396563354,24.9,25.067528139769536,True
45.0,4.0423,4.004591935385059,24.9,25.073591107554023,True
46.0,4.0414,4.003767956541365,24.7,25.079649224091952,True
47.0,4.0407,4.002961911277631,24.9,25.08570230953046,True
48.0,4.0398,4.002173278419957,24.7,25.091750190790208,True
49.0,4.0392,4.001401555591554,24.9,25.097792700313164,True
50.0,4.0386,4.00064626604482,24.7,25.103829676261967,True
51.0,4.0376,3.999907015619741,24.7,25.10986096595309,True
52.0,4.037,3.9991833314729504,24.7,25.11588641592334,True
53.0,4.0364,3.998474788993344,24.9,25.121905879540122,True
54.0,4.0355,3.9977809755130687,24.8,25.127919214703525,True
55.0,4.0345,3.9971015197753945,24.7,25.133926285063012,True
56.0,4.0339,3.99643609807972,24.7,25.139926960229104,True
57.0,4.0336,3.9957843216371445,24.7,25.145921110479946,True
58.0,4.033,3.995145845203368,24.8,25.151908611578506,True
59.0,4.0321,3.9945203340155007,24.7,25.15788934314645,True
60.0,4.0314,3.993907492566661,24.9,25.16386319046694,True
61.0,4.0308,3.9933070282963246,24.7,25.169830042026717,True
62.0,4.0302,3.9927186366106855,24.8,25.175789788382076,True
63.0,4.0296,3.9921420351995702,24.8,25.181742324328923,True
64.0,4.0293,3.9915769509027395,24.7,25.187687547932057,True
65.0,4.0283,3.991023130896689,24.9,25.193625363188744,True
66.0,4.028,3.9904803201145733,24.9,25.19955567473511,True
67.0,4.0271,3.9899482721393844,24.7,25.205478390398355,True
68.0,4.0265,3.9894267495338265,24.7,25.21139342128822,True
69.0,4.0259,3.98891552252266,24.9,25.217300681573704,True
70.0,4.0256,3.988414383236107,24.8,25.22320009347669,True
71.0,4.0249,3.987923108225368,24.9,25.22909157441461,True
72.0,4.0246,3.987441487465214,24.9,25.23497504701396,True
73.0,4.024,3.9869693158994024,24.7,25.240850436252742,True
74.0,4.0234,3.986506392925127,24.9,25.24671766932056,True
75.0,4.0228,3.986052521893383,24.9,25.252576675479645,True
76.0,4.0225,3.985607509624891,24.9,25.2584273859253,True
77.0,4.0218,3.985171214540014,24.9,25.26426974466142,True
78.0,4.0215,3.984743466618634,24.9,25.270103690566316,True
79.0,4.0209,3.984324069864335,24.9,25.275929157692758,True
80.0,4.0203,3.983912853510548,24.9,25.28174608685265,True
81.0,4.02,3.983509649436433,24.9,25.287554420496633,True
82.0,4.019,3.983114291794154,24.9,25.293354102591593,True
83.0,4.0187,3.9827266166482365,24.9,25.29914507849867,True
84.0,4.0181,3.9823464807317674,24.9,25.3049272993037,True
85.0,4.0178,3.9819738243618326,24.9,25.310700736684964,True
86.0,4.0172,3.9816084396316307,24.9,25.31646532876647,True
87.0,4.0166,3.98125018492065,24.9,25.322221029906075,True
88.0,4.0163,3.9808989210444365,25.2,25.327967795880625,True
89.0,4.0159,3.9805545110318836,24.9,25.33370558380045,True
90.0,4.0156,3.98021681990889,24.9,25.33943435202292,True
91.0,4.015,3.9798857144881823,24.9,25.345154060066818,True
92.0,4.0147,3.979561123405643,25.0,25.350864684723433,True
93.0,4.0144,3.9792429159826663,24.9,25.356566187768124,True
94.0,4.0138,3.9789309589858255,24.9,25.362258530859265,True
95.0,4.0135,3.978625137349938,24.9,25.367941681151933,True
96.0,4.0128,3.978325338338721,24.9,25.373615607043348,True
97.0,4.0125,3.978031451420638,25.0,25.379280278115857,True
98.0,4.0116,3.9777433681472023,25.0,25.384935665080093,True
99.0,4.0116,3.9774609878787452,24.9,25.390581742317465,True
100.0,4.011,3.9771842205867647,24.9,25.396218489193643,True
101.0,4.0107,3.9769129563375762,24.9,25.401845876439836,True
102.0,4.0104,3.9766470971803414,24.9,25.407463880303112,True
103.0,4.0101,3.97638654709224,24.9,25.413072478091976,True
104.0,4.0094,3.976131211889452,25.1,25.418671648132317,True
105.0,4.0091,3.975880999139864,24.9,25.424261369722785,True
106.0,4.0088,3.975635818077697,25.0,25.429841623090738,True
107.0,4.0085,3.975395580264943,24.9,25.4354123927792,True
108.0,4.0082,3.9751601979022095,25.0,25.440973659921895,True
109.0,4.0079,3.9749295848245363,25.0,25.446525407473757,True
110.0,4.0073,3.9747036563272746,24.9,25.45206761962305,True
111.0,4.007,3.974482329009309,24.9,25.457600281356008,True
112.0,4.0066,3.9742655207016466,24.9,25.46312337841755,True
113.0,4.0063,3.974053150397547,24.9,25.468636897272063,True
114.0,4.006,3.973845147117031,24.9,25.47414082933784,True
115.0,4.0057,3.9736414418593573,24.9,25.479635167227855,True
116.0,4.0054,3.973441948987045,24.9,25.4851198957482,True
117.0,4.0048,3.973246593205548,24.9,25.490595004779664,True
118.0,4.0045,3.9730553000979216,25.1,25.49606048476477,True
119.0,4.0042,3.9728679960544437,24.9,25.501516326664444,True
120.0,4.0035,3.972684608203975,25.1,25.506962521914375,True
121.0,4.0032,3.972505064346952,24.9,25.51239906238186,True
122.0,4.0029,3.9723292928900524,25.1,25.5178259403217,True
123.0,4.0026,3.9721572227822795,25.1,25.52324314833328,True
124.0,4.0023,3.9719887834525713,25.1,25.528650679316684,True
125.0,4.002,3.971823904748876,25.0,25.53404852642933,True
126.0,4.0017,3.9716625473481915,25.1,25.539436697780616,True
127.0,4.0014,3.971504695943525,25.1,25.54481521350516,True
128.0,4.0011,3.971350234283167,24.9,25.550184044956097,True
129.0,4.0008,3.9711990991015615,25.1,25.555543189029493,True
130.0,4.0004,3.971051227656065,25.1,25.5608926429137,True
131.0,4.0001,3.970906557676972,25.1,25.566232404052585,True
132.0,3.9998,3.9707650273186297,25.1,25.57156247010829,True
133.0,3.9995,3.9706265751112544,25.1,25.57688283892486,True
134.0,3.9992,3.970491139914009,25.1,25.582193508490775,True
135.0,3.9989,3.9703586608686803,25.1,25.58749447690252,True
136.0,3.9986,3.9702290773542317,25.1,25.592785742327465,True
137.0,3.9983,3.970102328942137,25.1,25.598067302966967,True
138.0,3.998,3.96997838129734,25.1,25.603339171950324,True
139.0,3.9977,3.9698572618330483,25.1,25.608601398285487,True
140.0,3.9973,3.969738842048874,25.1,25.613853941242496,True
141.0,3.997,3.969623068896936,25.1,25.61909680325482,True
142.0,3.9967,3.9695098898534424,25.1,25.62432998699569,True
143.0,3.9964,3.969399252891756,25.1,25.62955349535548,True
144.0,3.9961,3.9692911064559344,25.1,25.6347673314188,True
145.0,3.9961,3.969185399434456,25.1,25.639971498442094,True
146.0,3.9955,3.9690820811346357,25.1,25.64516599983091,True
147.0,3.9952,3.968981101256897,25.1,25.650350839117095,True
148.0,3.9949,3.9688824098698876,25.1,25.655526019936474,True
149.0,3.9946,3.9687859573853994,25.1,25.660691546006262,True
150.0,3.9942,3.968691702368995,25.1,25.66584742687843,True
151.0,3.9939,3.9685996558353325,25.1,25.670993710815594,True
152.0,3.9939,3.9685097262105136,25.1,25.67613037034613,True
153.0,3.9936,3.9684218690143838,25.1,25.68125741243989,True
154.0,3.9933,3.968336040313971,25.1,25.686374844314344,True
155.0,3.993,3.9682521967102296,25.1,25.69148267342274,True
156.0,3.9927,3.968170295325067,25.1,25.696580907441557,True
157.0,3.9924,3.968090293788484,25.1,25.701669554259126,True
158.0,3.9921,3.9680121502258623,25.1,25.70674862196313,True
159.0,3.9921,3.9679358232456043,25.1,25.71181811882883,True
160.0,3.9918,3.967861271926665,25.1,25.716878053306914,True
161.0,3.9915,3.9677884558065455,25.1,25.721928434011772,True
