time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature
0.0,1,0.10000000000000007,0.08164965809277272,3.294285117503761,298.15,0.0,3.294285117503761,3.294285117503761,298.15,0.0,0.0,0.0,0.0
0.0,2,0.1999999999999999,0.08164965809277272,3.503547969306337,298.15,0.0,3.503547969306337,3.503547969306337,298.15,0.0,0.0,0.0,0.0
0.0,3,0.3000000000000004,0.08164965809277272,3.603529591032297,298.15,0.0,3.603529591032297,3.603529591032297,298.15,0.0,0.0,0.0,0.0
90.0,1,0.12058663124277737,0.08255907582358181,3.5064935653388103,298.3034039446882,3.5,3.465248815236748,3.5064935653388103,298.3034039446882,-0.75,-3.1279537911790904,-0.0,-0.0
90.0,2,0.2217808014005298,0.08255907582358181,3.6441015688473612,298.2781656908864,3.5,3.627395584351451,3.6441015688473612,298.2781656908864,-0.75,-3.1279537911790904,-0.0,-0.0
90.0,3,0.32281421934911364,0.08255907582358181,3.751168605893901,298.2548657395793,3.5,3.730306114773238,3.751168605893901,298.2548657395793,-0.75,-3.1279537911790904,-0.0,-0.0
180.0,1,0.14117326248555462,0.08346851056454896,3.553598826072582,298.4563572779806,3.5,3.532272059016479,3.553598826072582,298.4563572779806,-0.75,-3.173425528227448,-0.0,-0.0
180.0,2,0.24356160280105962,0.08346851056454896,3.666284945699397,298.4073054374758,3.5,3.6553381302484316,3.666284945699397,298.4073054374758,-0.75,-3.173425528227448,-0.0,-0.0
180.0,3,0.3456284386982272,0.08346851056454896,3.7772585981809237,298.36230361031494,3.5,3.7647299189406156,3.7772585981809237,298.36230361031494,-0.75,-3.173425528227448,-0.0,-0.0
270.0,1,0.16175989372833194,0.08173343824374817,3.5802752699130904,298.6038607962425,3.5,3.5680947868061677,3.5802752699130904,298.6038607962425,-0.75,-3.086671912187408,-0.0,-0.0
270.0,2,0.2653424042015892,0.08173343824374817,3.6887971810889333,298.5325642621885,3.5,3.6774352463079,3.6887971810889333,298.5325642621885,-0.75,-3.086671912187408,-0.0,-0.0
270.0,3,0.3619243096618799,0.08173343824374817,3.761365703203957,298.41896332253043,2.5,3.7562758932971967,3.761365703203957,298.41896332253043,-0.75,-3.086671912187408,-0.0,-0.0
360.0,1,0.18234652497110934,0.082643429171856,3.597783701466609,298.7461872529749,3.5,3.5894355406430605,3.597783701466609,298.7461872529749,-0.75,-3.1321714585928,-0.0,-0.0
360.0,2,0.2871232056021191,0.082643429171856,3.7121743240138194,298.6539743356853,3.5,3.700460350834708,3.7121743240138194,298.6539743356853,-0.75,-3.1321714585928,-0.0,-0.0
360.0,3,0.3847385290109935,0.082643429171856,3.8137496978696017,298.5224647518455,3.5,3.8005210737549917,3.8137496978696017,298.5224647518455,-0.75,-3.1321714585928,-0.0,-0.0
450.0,1,0.20293315621388672,0.08094026144538716,3.6128315458574107,298.8837924490068,3.5,3.6053399078988817,3.6128315458574107,298.8837924490068,-0.75,-3.047013072269358,-0.0,-0.0
450.0,2,0.30890400700264886,0.08094026144538716,3.7350803141669613,298.77178523849915,3.5,3.723720844048825,3.7350803141669613,298.77178523849915,-0.75,-3.047013072269358,-0.0,-0.0
450.0,3,0.4010343999746463,0.08094026144538716,3.7966493789418223,298.57696509418906,2.5,3.7921005373202754,3.7966493789418223,298.57696509418906,-0.75,-3.047013072269358,-0.0,-0.0
540.0,1,0.22351978745666387,0.08185045866765397,3.6286195635702807,299.0170717787818,3.5,3.6205871708451367,3.6286195635702807,299.0170717787818,-0.75,-3.0925229333826985,-0.0,-0.0
540.0,2,0.3306848084031786,0.08185045866765397,3.756472100040976,298.88622657442545,3.5,3.745916279115019,3.756472100040976,298.88622657442545,-0.75,-3.0925229333826985,-0.0,-0.0
540.0,3,0.4238486193237599,0.08185045866765397,3.849844499578264,298.6780127729069,3.5,3.8362355782757884,3.849844499578264,298.6780127729069,-0.75,-3.0925229333826985,-0.0,-0.0
630.0,1,0.24410641869944127,0.08018050877833742,3.6465086660715436,299.14637912096765,3.5,3.637368290142204,3.6465086660715436,299.14637912096765,-0.75,-3.0090254389168707,-0.0,-0.0
630.0,2,0.3524656098037083,0.08018050877833742,3.7763327394683466,298.9975193146862,3.5,3.7665038910383046,3.7763327394683466,298.9975193146862,-0.75,-3.0090254389168707,-0.0,-0.0
