time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature
0.0,1,0.10000000000000007,0.08164965809277272,3.294285117503761,298.15,0.0,3.294285117503761,3.294285117503761,298.15,0.0,0.0,0.0,0.0
0.0,2,0.1999999999999999,0.08164965809277272,3.503547969306337,298.15,0.0,3.503547969306337,3.503547969306337,298.15,0.0,0.0,0.0,0.0
0.0,3,0.3000000000000004,0.08164965809277272,3.603529591032297,298.15,0.0,3.603529591032297,3.603529591032297,298.15,0.0,0.0,0.0,0.0
90.0,1,0.11470473660198391,0.0822992404258172,3.4545386454257345,298.23464093646544,2.5,3.4236001576983273,3.4545386454257345,298.23464093646544,-0.75,-3.1149620212908595,-0.0,-0.0
90.0,2,0.2155577152860924,0.0822992404258172,3.608335938285709,298.2196354254454,2.5,3.5967566732753578,3.608335938285709,298.2196354254454,-0.75,-3.1149620212908595,-0.0,-0.0
90.0,3,0.31629587096365297,0.0822992404258172,3.7129548214223282,298.20658349118816,2.5,3.6982446976136747,3.7129548214223282,298.20658349118816,-0.75,-3.1149620212908595,-0.0,-0.0
180.0,1,0.12940947320396767,0.07691807194403605,3.4965103990333786,298.3188924130694,2.5,3.4767123355287923,3.4965103990333786,298.3188924130694,-0.75,-2.845903597201802,-0.0,-0.0
180.0,2,0.24356160280105946,0.07691807194403605,3.6940760641800776,298.4215676736079,4.5,3.675698543463742,3.6940760641800776,298.4215676736079,-0.75,-2.845903597201802,-0.0,-0.0
180.0,3,0.316295870963654,0.07691807194403605,3.623300827668606,298.20613932351085,0.0,3.627419250054249,3.6387953999861415,298.20658349118816,-0.75,-2.845903597201802,-0.0,-0.0
270.0,1,0.15587799908753863,0.06638425329087344,3.6021172546144307,298.5517109216365,4.5,3.5785521474452904,3.6021172546144307,298.5517109216365,-0.75,-2.319212664543672,-0.0,-0.0
270.0,2,0.25911931808715216,0.06638425329087344,3.651893796164304,298.48856831541326,2.5,3.6481270637003136,3.6521543408527632,298.48856831541326,-0.75,-2.319212664543672,-0.0,-0.0
270.0,3,0.31629587096365497,0.06638425329087344,3.621612341606439,298.20569864346004,0.0,3.6222846539226685,3.623300827668606,298.20613932351085,-0.75,-2.319212664543672,-0.0,-0.0
360.0,1,0.17058273568952248,0.06324412451995932,3.557980953015431,298.62943868131566,2.5,3.555090831943432,3.559502433067421,298.62943868131566,-0.75,-2.162206225997966,-0.0,-0.0
360.0,2,0.2715654903160261,0.06324412451995932,3.6468609658668436,298.5283130066002,2.0,3.6420203387988948,3.6468609658668436,298.5283130066002,-0.75,-2.162206225997966,-0.0,-0.0
360.0,3,0.3228142193491167,0.06324412451995932,3.6661402891823105,298.21486447572016,1.0,3.660838583480843,3.6661402891823105,298.21486447572016,-0.75,-2.162206225997966,-0.0,-0.0
450.0,1,0.18528747229150636,0.057894262152825816,3.568475855732713,298.7025874290634,2.5,3.5632258667097765,3.568475855732713,298.7025874290634,-0.75,-1.8947131076412909,-0.0,-0.0
450.0,2,0.2840116625449002,0.057894262152825816,3.6591290593023613,298.5665577415728,2.0,3.652909201758112,3.6591290593023613,298.5665577415728,-0.75,-1.8947131076412909,-0.0,-0.0
450.0,3,0.3228142193491178,0.057894262152825816,3.6283757366168388,298.2143553041771,0.0,3.6301515470881203,3.6347792396759377,298.21486447572016,-0.75,-1.8947131076412909,-0.0,-0.0
540.0,1,0.1999922088934903,0.05279469905705066,3.5788400397305837,298.7734705238088,2.5,3.573654158405513,3.5788400397305837,298.7734705238088,-0.75,-1.6397349528525333,-0.0,-0.0
540.0,2,0.2964578347737747,0.05279469905705066,3.671884289813806,298.60376165855985,2.0,3.665500482883703,3.671884289813806,298.60376165855985,-0.75,-1.6397349528525333,-0.0,-0.0
540.0,3,0.3228142193491187,0.05279469905705066,3.6275458734028208,298.2138501301851,0.0,3.6278826465764027,3.6283757366168388,298.2143553041771,-0.75,-1.6397349528525333,-0.0,-0.0
630.0,1,0.2264607347770614,0.04252369422120142,3.6580323630044598,298.98694366284366,4.5,3.642583147952737,3.6580323630044598,298.98694366284366,-0.75,-1.126184711060071,-0.0,-0.0
630.0,2,0.30890400700264886,0.04252369422120142,3.6845102521272524,298.6399878287028,2.0,3.6782241840597556,3.6845102521272524,298.6399878287028,-0.75,-1.126184711060071,-0.0,-0.0
