iteration,best_objective,solver_failures,evaluations
0,17.39362357926269,0,20
1,7.162017083015495,0,40
2,4.566955011365189,0,60
3,4.566955011365189,0,80
4,3.9028507319850423,0,100
5,3.9028507319850423,0,120
6,3.9028507319850423,0,140
7,2.793187829811255,0,160
8,2.793187829811255,0,180
9,2.793187829811255,0,200
10,2.793187829811255,0,220
11,2.459094518559732,0,240
12,2.459094518559732,0,260
13,2.2381516470305733,0,280
14,2.0000302585633047,0,300
15,2.0000302585633047,0,320
16,2.0000302585633047,0,340
17,2.0000302585633047,0,360
18,2.0000302585633047,0,380
19,1.965101948339525,0,400
20,1.965101948339525,0,420
21,1.9631397529972223,0,440
22,1.9379409540201522,0,460
23,1.9379409540201522,0,480
24,1.9305840374398984,0,500
25,1.9254492538954655,0,520
26,1.901667854866153,0,540
27,1.901667854866153,0,560
28,1.901667854866153,0,580
29,1.901667854866153,0,600
30,1.9008009216491242,0,620
31,1.9008009216491242,0,640
32,1.9008009216491242,0,660
33,1.8977198714311445,0,680
34,1.8963520182607536,0,700
35,1.8939909343335728,0,720
36,1.8939909343335728,0,740
37,1.8936497641812111,0,760
38,1.8935202257078911,0,780
39,1.8935202257078911,0,800
40,1.8935202257078911,0,820
41,1.893511275109657,0,840
42,1.8933695681045406,0,860
43,1.8933695681045406,0,880
44,1.8933695681045406,0,900
45,1.8933423738163004,0,920
46,1.8933423738163004,0,940
47,1.893326434356638,0,960
48,1.893326434356638,0,980
49,1.893326434356638,0,1000
50,1.893326434356638,0,1020
