time_s,cell,soc,voltage_V,temperature_K,requested_current_A,applied_current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,soc_std,team_reward
0.0,1,0.1,3.2789336379462113,298.15,0.0,0.0,3.2789336379462113,3.2789336379462113,298.15,0.0816496580927726,0.0
0.0,2,0.2,3.468163643136094,298.15,0.0,0.0,3.468163643136094,3.468163643136094,298.15,0.0816496580927726,0.0
0.0,3,0.3,3.5662994441272655,298.15,0.0,0.0,3.5662994441272655,3.5662994441272655,298.15,0.0816496580927726,0.0
90.0,1,0.12986439429880614,3.5839573457534115,298.94794398981486,5.0,5.0,3.5218731226254247,3.5839573457534115,298.94794398981486,0.08166167372369079,-3.833083686184539
90.0,2,0.22689281238078576,3.661960783923635,298.7165502468717,4.5,4.5,3.6331230614015104,3.661960783923635,298.7165502468717,0.08166167372369079,-3.833083686184539
90.0,3,0.32986439429880576,3.7792367590462153,298.86702525327865,5.0,5.0,3.7442400051122555,3.7792367590462153,298.86702525327865,0.08166167372369079,-3.833083686184539
180.0,1,0.13285083372868672,3.413918509121288,298.858601932164,0.5,0.5,3.4260804022534415,3.465621192899812,298.94794398981486,0.09150150057555531,-4.325075028777766
180.0,2,0.25378562476157146,3.6920813081260775,299.2563370526333,4.5,4.5,3.6773681431875422,3.6920813081260775,299.2563370526333,0.09150150057555531,-4.325075028777766
180.0,3,0.35674234916773095,3.791793447162193,299.4120125534623,4.5,4.5,3.7804910505206792,3.791793447162193,299.4120125534623,0.09150150057555531,-4.325075028777766
270.0,1,0.1358372731585672,3.417113564720185,298.7767668906572,0.5,0.5,3.4151092549536983,3.417113564720185,298.858601932164,0.10163793098543199,-4.831896549271599
270.0,2,0.2806784371423571,3.7211267358079976,299.72831834901893,4.5,4.5,3.706601355444215,3.7211267358079976,299.72831834901893,0.10163793098543199,-4.831896549271599
270.0,3,0.38362030403665653,3.81412328819047,299.87407661398026,4.5,4.5,3.8030315378883324,3.81412328819047,299.87407661398026,0.10163793098543199,-4.831896549271599
360.0,1,0.13882371258844767,3.4224495529927426,298.7053951177903,0.5,0.5,3.4197532680280367,3.4224495529927426,298.7767668906572,0.11199045574341467,-5.349522787170733
360.0,2,0.3075712495231429,3.7489830557659216,300.1392576064827,4.5,4.5,3.735233932196895,3.7489830557659216,300.1392576064827,0.11199045574341467,-5.349522787170733
360.0,3,0.41049825890558156,3.8365217864098273,300.268610649738,4.5,4.5,3.82523738386483,3.8365217864098273,300.268610649738,0.11199045574341467,-5.349522787170733
450.0,1,0.14181015201832814,3.4278523241675396,298.64330390151116,0.5,0.5,3.4251623935147046,3.4278523241675396,298.7053951177903,0.12250430235478761,-5.875215117739381
450.0,2,0.3344640619039285,3.7737211616222393,300.4972578739071,4.5,4.5,3.761605084150476,3.7737211616222393,300.4972578739071,0.12250430235478761,-5.875215117739381
450.0,3,0.43737621377450653,3.8606878837697494,300.60587183361474,4.5,4.5,3.8484382008234057,3.8606878837697494,300.60587183361474,0.12250430235478761,-5.875215117739381
540.0,1,0.14479659144820853,3.433040866516401,298.5894162086897,0.5,0.5,3.4304680306276176,3.433040866516401,298.64330390151116,0.13314125870084756,-6.407062935042378
540.0,2,0.3613568742847141,3.795545094852483,300.8092978161532,4.5,4.5,3.784794046410064,3.795545094852483,300.8092978161532,0.13314125870084756,-6.407062935042378
540.0,3,0.46425416864343205,3.8868725979139387,300.8944711613537,4.5,4.5,3.873661713011206,3.8868725979139387,300.8944711613537,0.13314125870084756,-6.407062935042378
630.0,1,0.14778303087808897,3.4379318786227477,298.54254096706416,0.5,0.5,3.4355101383782083,3.4379318786227477,298.5894162086897,0.14387402196594062,-6.943701098297031
630.0,2,0.38824968666549936,3.8162254245983354,301.0814021677723,4.5,4.5,3.805891222076794,3.8162254245983354,301.0814021677723,0.14387402196594062,-6.943701098297031
630.0,3,0.49113212351235697,3.9137068004456825,301.1416944304593,4.5,4.5,3.900316114876543,3.9137068004456825,301.1416944304593,0.14387402196594062,-6.943701098297031
720.0,1,0.15076947030796922,3.4425073288419688,298.50171801838513,0.5,0.5,3.4402431864572214,3.4425073288419688,298.54254096706416,0.15069996190299179,-7.284998095149589
720.0,2,0.41514249904628475,3.837776242886389,301.3190619422832,4.5,4.5,3.8268722521783083,3.837776242886389,301.3190619422832,0.15069996190299179,-7.284998095149589
720.0,3,0.5060643206617594,3.8548553285659026,300.957773087438,2.5,2.5,3.8580014243097684,3.8738861501597603,301.1416944304593,0.15069996190299179,-7.284998095149589
810.0,1,0.15375590973784975,3.4467754264364663,298.4661610793005,0.5,0.5,3.44466364228517,3.4467754264364663,298.50171801838513,0.16164136900490134,-7.8320684502450675
810.0,2,0.44203531142707037,3.8615472970109592,301.5269835239892,4.5,4.5,3.849475270168991,3.8615472970109592,301.5269835239892,0.16164136900490134,-7.8320684502450675
810.0,3,0.5329422755306843,3.9486645078536124,301.1725955721957,4.5,4.5,3.927373565556928,3.9486645078536124,301.1725955721957,0.16164136900490134,-7.8320684502450675
900.0,1,0.15674234916773008,3.4507566068790094,298.4351861573337,0.5,0.5,3.4487864221711204,3.4507566068790094,298.4661610793005,0.1726245480376167,-8.381227401880835
900.0,2,0.4689281238078556,3.887541236408837,301.70915002360704,4.5,4.5,3.874418174033523,3.887541236408837,301.70915002360704,0.1726245480376167,-8.381227401880835
900.0,3,0.5598202303996094,3.9734986033699182,301.38032825755533,4.5,4.5,3.9615414877129043,3.9734986033699182,301.38032825755533,0.1726245480376167,-8.381227401880835
