time_s,cell,soc,voltage_V,temperature_K,requested_current_A,applied_current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,soc_std,team_reward
0.0,1,0.1,3.2789336379462113,298.15,0.0,0.0,3.2789336379462113,3.2789336379462113,298.15,0.0816496580927726,0.0
0.0,2,0.2,3.468163643136094,298.15,0.0,0.0,3.468163643136094,3.468163643136094,298.15,0.0816496580927726,0.0
0.0,3,0.3,3.5662994441272655,298.15,0.0,0.0,3.5662994441272655,3.5662994441272655,298.15,0.0816496580927726,0.0
90.0,1,0.1238915154390449,3.535570298951325,298.69046135226495,4.0,4.0,3.4827623333338393,3.535570298951325,298.69046135226495,0.08164965833012285,-3.8324829165061423
90.0,2,0.22390472211625392,3.6430246757912492,298.6084429648576,4.0,4.0,3.6177236236924712,3.6430246757912492,298.6084429648576,0.08164965833012285,-3.8324829165061423
90.0,3,0.32389151543904415,3.741292973625067,298.6270260976706,4.0,4.0,3.7134572159894312,3.741292973625067,298.6270260976706,0.08164965833012285,-3.8324829165061423
180.0,1,0.14778303087808983,3.5832432206152003,299.18298827129615,4.0,4.0,3.5619744222487446,3.5832432206152003,299.18298827129615,0.08164965904217439,-3.832482952108719
180.0,2,0.24780944423250767,3.6691831082177564,299.04404216444755,4.0,4.0,3.6564245445316472,3.6691831082177564,299.04404216444755,0.08164965904217439,-3.832482952108719
180.0,3,0.3477830308780888,3.7669266924427243,299.07456034543384,4.0,4.0,3.754851256608002,3.7669266924427243,299.07456034543384,0.08164965904217439,-3.832482952108719
270.0,1,0.17167454631713475,3.608418289798534,299.5985961429002,4.0,4.0,3.5967571870942123,3.608418289798534,299.5985961429002,0.08164966022892707,-3.8324830114463535
270.0,2,0.2717141663487618,3.6945816354523493,299.4253398325403,4.0,4.0,3.6818330954901706,3.6945816354523493,299.4253398325403,0.08164966022892707,-3.8324830114463535
270.0,3,0.3716745463171336,3.7872552302384808,299.45914677800704,4.0,4.0,3.7772714511719925,3.7872552302384808,299.45914677800704,0.08164966022892707,-3.8324830114463535
360.0,1,0.19556606175617952,3.626738715714975,299.94755970309404,4.0,4.0,3.617750220875057,3.626738715714975,299.94755970309404,0.08164966189038081,-3.8324830945190405
360.0,2,0.29561888846501594,3.7199043778926084,299.75759266121725,4.0,4.0,3.707314395535165,3.7199043778926084,299.75759266121725,0.08164966189038081,-3.8324830945190405
360.0,3,0.3955660617561782,3.806360938886823,299.78800827989875,4.0,4.0,3.796816099480318,3.806360938886823,299.78800827989875,0.08164966189038081,-3.8324830945190405
450.0,1,0.2194575771952243,3.6450264982371046,300.24061781023096,4.0,4.0,3.635748436155133,3.6450264982371046,300.24061781023096,0.08164966402653542,-3.832483201326771
450.0,2,0.3195236105812699,3.743367493072068,300.04725097662447,4.0,4.0,3.7318233097237665,3.743367493072068,300.04725097662447,0.08164966402653542,-3.832483201326771
450.0,3,0.4194575771952224,3.8260765599015194,300.06940992529906,4.0,4.0,3.8161211345296793,3.8260765599015194,300.06940992529906,0.08164966402653542,-3.832483201326771
540.0,1,0.24334909263426924,3.665927622632948,300.48663540774356,4.0,4.0,3.6552443125660417,3.665927622632948,300.48663540774356,0.0816496666373912,-3.83248333186956
540.0,2,0.34342833269752376,3.764176569249732,300.2998378187727,4.0,4.0,3.753960798673776,3.764176569249732,300.2998378187727,0.0816496666373912,-3.83248333186956
540.0,3,0.4433490926342672,3.8474452852747874,300.3103299516532,4.0,4.0,3.8366200126190977,3.8474452852747874,300.3103299516532,0.0816496666373912,-3.83248333186956
630.0,1,0.2672406080733137,3.689696288271211,300.69298255031106,4.0,4.0,3.677639278881061,3.689696288271211,300.69298255031106,0.08164966972294797,-3.8324834861473986
630.0,2,0.3673330548137776,3.7829494770972616,300.52012240775656,4.0,4.0,3.773668179590767,3.7829494770972616,300.52012240775656,0.08164966972294797,-3.8324834861473986
630.0,3,0.4672406080733116,3.8705317419432426,300.51671088823923,4.0,4.0,3.858883627817954,3.8705317419432426,300.51671088823923,0.08164966972294797,-3.8324834861473986
720.0,1,0.29113212351235807,3.714685176730538,300.86613562710204,4.0,4.0,3.702190140709109,3.714685176730538,300.86613562710204,0.08164967328320591,-3.832483664160295
720.0,2,0.39123777693003114,3.801030349457002,300.71254195689784,4.0,4.0,3.791986928514878,3.801030349457002,300.71254195689784,0.08164967328320591,-3.832483664160295
720.0,3,0.4911321235123565,3.894387715680775,300.6937844948353,4.0,4.0,3.8824545643116735,3.894387715680775,300.6937844948353,0.08164967328320591,-3.832483664160295
810.0,1,0.3150236389514024,3.7385701580362705,301.01139534490096,4.0,4.0,3.726779976686032,3.7385701580362705,301.01139534490096,0.08164967731816451,-3.8324838659082254
810.0,2,0.415142499046285,3.8198121633009965,300.88077343994894,4.0,4.0,3.8103242313668053,3.8198121633009965,300.88077343994894,0.08164967731816451,-3.8324838659082254
810.0,3,0.515023638951401,3.9175956466759887,300.84607016969784,4.0,4.0,3.90608776088812,3.9175956466759887,300.84607016969784,0.08164967731816451,-3.8324838659082254
900.0,1,0.33891515439044695,3.7600593553676407,301.13317001793763,4.0,4.0,3.7495005028216646,3.7600593553676407,301.13317001793763,0.08164968182782363,-3.8324840913911813
900.0,2,0.43904722116253864,3.8403081709968108,301.0279881785619,4.0,4.0,3.829910967006809,3.8403081709968108,301.0279881785619,0.08164968182782363,-3.8324840913911813
900.0,3,0.5389151543904451,3.93915245849316,300.97730366848396,4.0,4.0,3.9285126462873885,3.93915245849316,300.97730366848396,0.08164968182782363,-3.8324840913911813
