time_s,cell,soc,voltage_V,temperature_K,requested_current_A,applied_current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,soc_std,team_reward
0.0,1,0.3,3.5662994441272655,298.15,0.0,0.0,3.5662994441272655,3.5662994441272655,298.15,0.1632993161855452,0.0
0.0,2,0.5,3.7298447955893925,298.15,0.0,0.0,3.7298447955893925,3.7298447955893925,298.15,0.1632993161855452,0.0
0.0,3,0.7,3.9376497426411605,298.15,0.0,0.0,3.9376497426411605,3.9376497426411605,298.15,0.1632993161855452,0.0
90.0,1,0.32389151543904415,3.741292973625067,298.6270260976706,4.0,4.0,3.7134572159894312,3.741292973625067,298.6270260976706,0.16329931630422032,-7.9149658152110165
90.0,2,0.523904722116254,3.912831799974642,298.5736000330286,4.0,4.0,3.8799972995331737,3.912831799974642,298.5736000330286,0.16329931630422032,-7.9149658152110165
90.0,3,0.7238915154390437,4.120041248642829,298.62071879581936,4.0,4.0,4.087453451123812,4.120041248642829,298.62071879581936,0.16329931630422032,-7.9149658152110165
180.0,1,0.3477830308780888,3.7669266924427243,299.07456034543384,4.0,4.0,3.754851256608002,3.7669266924427243,299.07456034543384,0.14379893585327194,-6.939946792663597
180.0,2,0.5268928123807857,3.7863432467820406,298.5378980362772,0.5,0.5,3.797806341809843,3.8267457022382434,298.5736000330286,0.14379893585327194,-6.939946792663597
180.0,3,0.6999999999999978,3.8035527393166584,298.96495323228976,-4.0,-4.0,3.842194433057293,3.911914062669153,298.96495323228976,0.14379893585327194,-6.939946792663597
270.0,1,0.3716745463171336,3.7872552302384808,299.45914677800704,4.0,4.0,3.7772714511719925,3.7872552302384808,299.45914677800704,0.1255057828639971,-6.025289143199855
270.0,2,0.523904722116253,3.7373199297823745,298.50198003561445,-0.5,-0.5,3.7450071668448266,3.7583084161156908,298.5378980362772,0.1255057828639971,-6.025289143199855
270.0,3,0.6790949239908324,3.7843493435079676,299.212539527829,-3.5,-3.5,3.7989824950744797,3.813051379769986,299.212539527829,0.1255057828639971,-6.025289143199855
360.0,1,0.3925796223262977,3.786883394040826,299.6811771369086,3.5,3.5,3.7808145901250554,3.786883394040826,299.6811771369086,0.10722504641266432,-5.111252320633216
360.0,2,0.5268928123807844,3.778536124400032,298.4702455782709,0.5,0.5,3.7737663782589075,3.778536124400032,298.50198003561445,0.10722504641266432,-5.111252320633216
360.0,3,0.6552034085517868,3.734874156250263,299.5204752036291,-4.0,-4.0,3.7537373826601517,3.774902269512954,299.5204752036291,0.10722504641266432,-5.111252320633216
450.0,1,0.4134846983354618,3.802824603140837,299.8669712683513,3.5,3.5,3.794732840855881,3.802824603140837,299.8669712683513,0.0890644592889636,-4.20322296444818
450.0,2,0.5328689929098473,3.8064571762098196,298.4649157535107,1.0,1.0,3.80073133441534,3.8064571762098196,298.4702455782709,0.0890644592889636,-4.20322296444818
450.0,3,0.6313118931127407,3.7037324044773476,299.789238829046,-4.0,-4.0,3.7188349720132705,3.734874156250263,299.789238829046,0.0890644592889636,-4.20322296444818
540.0,1,0.4373762137745065,3.8407186694737665,300.13141075865724,4.0,4.0,3.827887130094994,3.8407186694737665,300.13141075865724,0.07186204367443116,-3.343102183721558
540.0,2,0.523904722116252,3.696424178348736,298.48963956001495,-1.5,-1.5,3.711305401111025,3.737292724210225,298.48963956001495,0.07186204367443116,-3.343102183721558
540.0,3,0.6133932565334563,3.716092797375931,299.84158816606754,-3.0,-3.0,3.7215469919676187,3.724655489825405,299.84158816606754,0.07186204367443116,-3.343102183721558
630.0,1,0.45230841092390905,3.800289774178845,300.08067560753017,2.5,2.5,3.800612908987683,3.8097432884641993,300.13141075865724,0.05967064777691982,-2.7335323888459913
630.0,2,0.5239047221162518,3.751326828811446,298.4524537541665,-0.0,0.0,3.7464407347620616,3.751326828811446,298.48963956001495,0.05967064777691982,-2.7335323888459913
630.0,3,0.5984610593840524,3.719610683125408,299.8072988996638,-2.5,-2.5,3.7242216256167198,3.72690698286371,299.84158816606754,0.05967064777691982,-2.7335323888459913
720.0,1,0.4612677292135504,3.766865182005758,299.90517208263225,1.5,1.5,3.7686773105548914,3.776420098598249,300.08067560753017,0.05235596493850156,-2.367798246925078
720.0,2,0.5239047221162512,3.752751285452544,298.4193395980639,0.0,0.0,3.7522127721455427,3.752751285452544,298.4524537541665,0.05235596493850156,-2.367798246925078
720.0,3,0.5895017410944102,3.7480169394704097,299.6630147065385,-1.5,-1.5,3.7472233462135103,3.748800785618077,299.8072988996638,0.05235596493850156,-2.367798246925078
810.0,1,0.4732134869330726,3.7946453232744783,299.8028716127048,2.0,2.0,3.7878798713257673,3.7946453232744783,299.90517208263225,0.042603358921762854,-1.8801679460881426
810.0,2,0.5239047221162508,3.753123716512234,298.3898641441831,0.0,0.0,3.7529632728493327,3.753123716512234,298.4193395980639,0.042603358921762854,-1.8801679460881426
810.0,3,0.5775559833748876,3.7209018193038084,299.58399200702706,-2.0,-2.0,3.7278653813234426,3.736561817568126,299.6630147065385,0.042603358921762854,-1.8801679460881426
900.0,1,0.48814568408247594,3.828554020724643,299.78336075289127,2.5,2.5,3.8187286268022396,3.828554020724643,299.8028716127048,0.03165581046830928,-1.332790523415464
900.0,2,0.5239047221162506,3.753282226847998,298.36366099588406,-0.0,0.0,3.7532106841887347,3.753282226847998,298.3898641441831,0.03165581046830928,-1.332790523415464
900.0,3,0.5656102256553641,3.7088916731802963,299.5168542414071,-2.0,-2.0,3.714877066956452,3.7209018193038084,299.58399200702706,0.03165581046830928,-1.332790523415464
