iteration,objective
0.000000000000000000e+00,1.095505160906197517e+01
1.000000000000000000e+00,3.870420866313599273e+00
2.000000000000000000e+00,3.062121173581622280e+00
3.000000000000000000e+00,3.062121173581622280e+00
4.000000000000000000e+00,3.062121173581622280e+00
5.000000000000000000e+00,3.062121173581622280e+00
6.000000000000000000e+00,3.062121173581622280e+00
7.000000000000000000e+00,3.062121173581622280e+00
8.000000000000000000e+00,3.062121173581622280e+00
9.000000000000000000e+00,3.062121173581622280e+00
1.000000000000000000e+01,2.640454385336893584e+00
1.100000000000000000e+01,2.640454385336893584e+00
1.200000000000000000e+01,2.596404637578877406e+00
1.300000000000000000e+01,2.596404637578877406e+00
1.400000000000000000e+01,2.478208370692436269e+00
1.500000000000000000e+01,2.478208370692436269e+00
1.600000000000000000e+01,2.478208370692436269e+00
1.700000000000000000e+01,2.478208370692436269e+00
1.800000000000000000e+01,2.478208370692436269e+00
1.900000000000000000e+01,2.478208370692436269e+00
2.000000000000000000e+01,2.441773812582392011e+00
2.100000000000000000e+01,2.318009068739000256e+00
2.200000000000000000e+01,2.313512835240870036e+00
2.300000000000000000e+01,2.280946074737075335e+00
2.400000000000000000e+01,2.242912574608021181e+00
2.500000000000000000e+01,2.237122223078694017e+00
2.600000000000000000e+01,2.237122223078694017e+00
2.700000000000000000e+01,2.225764029176504621e+00
2.800000000000000000e+01,2.225764029176504621e+00
2.900000000000000000e+01,2.225162056094709406e+00
3.000000000000000000e+01,2.225162056094709406e+00
3.100000000000000000e+01,2.225162056094709406e+00
3.200000000000000000e+01,2.225162056094709406e+00
3.300000000000000000e+01,2.224832670203140683e+00
3.400000000000000000e+01,2.224433607748398156e+00
3.500000000000000000e+01,2.224431828125718269e+00
