iteration,objective
0.000000000000000000e+00,3.619521833769252517e+00
1.000000000000000000e+00,3.169711359908435000e+00
2.000000000000000000e+00,2.686687660491820395e+00
3.000000000000000000e+00,2.686687660491820395e+00
4.000000000000000000e+00,2.516452850275062936e+00
5.000000000000000000e+00,2.516452850275062936e+00
6.000000000000000000e+00,2.516452850275062936e+00
7.000000000000000000e+00,2.516452850275062936e+00
8.000000000000000000e+00,2.516452850275062936e+00
9.000000000000000000e+00,2.516452850275062936e+00
1.000000000000000000e+01,2.516452850275062936e+00
1.100000000000000000e+01,2.499225122514893371e+00
1.200000000000000000e+01,2.467685187934574920e+00
1.300000000000000000e+01,2.467685187934574920e+00
1.400000000000000000e+01,2.467685187934574920e+00
1.500000000000000000e+01,2.467685187934574920e+00
1.600000000000000000e+01,2.454746552863246833e+00
1.700000000000000000e+01,2.454746552863246833e+00
1.800000000000000000e+01,2.450044149450493869e+00
1.900000000000000000e+01,2.427189392596823314e+00
2.000000000000000000e+01,2.426274372921387812e+00
2.100000000000000000e+01,2.425891110909183190e+00
2.200000000000000000e+01,2.425830822321305202e+00
2.300000000000000000e+01,2.424515504672596578e+00
2.400000000000000000e+01,2.423810017965084551e+00
2.500000000000000000e+01,2.421866088878684042e+00
2.600000000000000000e+01,2.420991635959613308e+00
2.700000000000000000e+01,2.420991635959613308e+00
2.800000000000000000e+01,2.419995469418571687e+00
2.900000000000000000e+01,2.419995469418571687e+00
3.000000000000000000e+01,2.419564888656423385e+00
3.100000000000000000e+01,2.419012825045313342e+00
3.200000000000000000e+01,2.418862276903215758e+00
3.300000000000000000e+01,2.418758472769592327e+00
3.400000000000000000e+01,2.418750735052409340e+00
3.500000000000000000e+01,2.418711137173436665e+00
