iteration,best_objective,solver_failures,evaluations
0,32.29941467728299,0,20
1,19.535412142691733,0,40
2,10.739089382569496,0,60
3,6.658220486882132,0,80
4,4.131460496186036,0,100
5,4.131460496186036,0,120
6,4.131460496186036,0,140
7,2.8037908509830674,0,160
8,2.8037908509830674,0,180
9,2.6927703454973764,0,200
10,2.6927703454973764,0,220
11,2.540530533266245,0,240
12,2.540530533266245,0,260
13,2.540530533266245,0,280
14,2.540530533266245,0,300
15,2.540530533266245,0,320
16,2.540530533266245,0,340
17,2.540530533266245,0,360
18,2.540530533266245,0,380
19,2.540530533266245,0,400
20,2.540530533266245,0,420
21,2.43228034531235,0,440
22,2.43228034531235,0,460
23,2.43228034531235,0,480
24,2.43228034531235,0,500
25,2.4141390944868917,0,520
26,2.4141390944868917,0,540
27,2.413991767819738,0,560
28,2.413991767819738,0,580
29,2.413991767819738,0,600
30,2.394221392278832,0,620
31,2.394221392278832,0,640
32,2.3910345696473603,0,660
33,2.3910345696473603,0,680
34,2.3910345696473603,0,700
35,2.38042131711583,0,720
36,2.38042131711583,0,740
37,2.3729740667206465,0,760
38,2.3729740667206465,0,780
39,2.3729740667206465,0,800
40,2.371604502874714,0,820
41,2.367284296297083,0,840
42,2.367284296297083,0,860
43,2.365856261028998,0,880
44,2.362709992376194,0,900
45,2.3605837734599984,0,920
46,2.3589259551878405,0,940
47,2.3574311154589958,0,960
48,2.3574311154589958,0,980
49,2.3554012940658584,0,1000
50,2.353803957891518,0,1020
