iteration,best_objective,solver_failures,evaluations
0,2.094742796955292,0,20
1,1.1207265249357012,0,40
2,1.0110587057708875,0,60
3,1.0110587057708875,0,80
4,1.0110587057708875,0,100
5,1.0110587057708875,0,120
6,0.9706376675473891,0,140
7,0.9706376675473891,0,160
8,0.9691689963419925,0,180
9,0.9356280934806145,0,200
10,0.9190632487373173,0,220
11,0.9190632487373173,0,240
12,0.8705268497669701,0,260
13,0.8575492005894059,0,280
14,0.8575492005894059,0,300
15,0.8410989959100221,0,320
16,0.8394758649328453,0,340
17,0.8394758649328453,0,360
18,0.8394758649328453,0,380
19,0.8315727212879145,0,400
20,0.824022742500562,0,420
21,0.824022742500562,0,440
22,0.8034728518060599,0,460
23,0.8034728518060599,0,480
24,0.8034728518060599,0,500
25,0.7999920109090815,0,520
26,0.7970657882722736,0,540
27,0.7952689814088864,0,560
28,0.7952689814088864,0,580
29,0.7949510398222035,0,600
30,0.7949510398222035,0,620
31,0.7949510398222035,0,640
32,0.7949510398222035,0,660
33,0.7926730107183702,0,680
34,0.7913206062070683,0,700
35,0.7908693475355053,0,720
36,0.7877896294294223,0,740
37,0.7861736512679696,0,760
38,0.784369469278419,0,780
39,0.7813190993107877,0,800
40,0.7797023346511224,0,820
41,0.7783118341199942,0,840
42,0.7783118341199942,0,860
43,0.7783118341199942,0,880
44,0.7783118341199942,0,900
45,0.7781367057100148,0,920
46,0.7777366354828115,0,940
47,0.77704790662289,0,960
48,0.776089952076928,0,980
49,0.776089952076928,0,1000
50,0.7760258250494521,0,1020
