episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
50,1901,0.482478125,-143.39885409828364,1.8463488817214966,True,True,,"[0.3, 0.5, 0.7]",4261.155550800002
51,1928,0.482178125,-68.70023900209523,,True,True,,"[0.6064956071827294, 0.5701406572016943, 0.7464633152619627]",4337.2179173999975
52,1963,0.481925,-118.38067047983068,21.41200065612793,True,True,,"[0.26455160566637015, 0.14470919278255034, 0.4684264095178037]",4413.6892229000005
53,2002,0.481596875,-124.66945228009347,16.328432083129883,True,True,,"[0.1, 0.2, 0.3]",4496.144400600002
54,2043,0.48123125,-189.6398111572125,,True,True,,"[0.3, 0.5, 0.7]",4599.884595000003
55,2090,0.480846875,-241.6539645622355,12.336091995239258,True,True,,"[0.7034490297687839, 0.39968331927915834, 0.5722262195789203]",4724.401450899997
56,2128,0.48040625,-107.69376485108884,7.9942402839660645,True,True,,"[0.3068550645050323, 0.4575887365449499, 0.66190721773185]",4819.3627204
57,2188,0.48005,-220.91760217812194,5.176422595977783,False,True,,"[0.1, 0.2, 0.3]",4944.3403616
58,2225,0.4794875,-169.8105032348452,4.175961017608643,True,True,,"[0.3, 0.5, 0.7]",5035.772633100001
59,2270,0.479140625,-243.6106362851404,3.811471700668335,True,True,,"[0.12005123093995046, 0.6539322306697064, 0.3505148449935318]",5132.649217699996
60,2302,0.47871874999999997,-154.7725139353967,3.486605644226074,True,True,,"[0.5534827477707135, 0.14081099660755328, 0.22765515763697824]",5207.208049300003
61,2337,0.47841875,-48.20989480829736,,True,True,,"[0.1, 0.2, 0.3]",5281.0370643999995
62,2364,0.478090625,-93.27671212891818,3.197572708129883,True,True,,"[0.3, 0.5, 0.7]",5341.920791800003
63,2394,0.4778375,-157.81274750493603,,True,True,,"[0.18765265160860428, 0.6952940186585124, 0.4663998612989847]",5410.402836599998
64,2420,0.47755625,-75.0990623728829,3.5576858520507812,True,True,,"[0.5925342344775174, 0.2936043760847047, 0.6314786153598874]",5467.389762599996
65,2466,0.47731250000000003,-115.29670690692485,3.1162819862365723,True,True,,"[0.1, 0.2, 0.3]",5564.538815
66,2493,0.47688125,-105.86053875139788,,True,True,,"[0.3, 0.5, 0.7]",5633.068332199997
67,2529,0.476628125,-183.28989123871298,3.8012115955352783,True,True,,"[0.7289695026981691, 0.22398799307772332, 0.36308633163697446]",5712.1073227000015
68,2553,0.476290625,-76.7025373935505,2.6900219917297363,True,True,,"[0.5216359642071341, 0.4734760410923513, 0.7490195730445971]",5779.238720299996
