method,scenario,seed,first_balance_time_s,balance_maintained_after_first,balanced_target90_time_s,target_reached,final_time_s,final_soc_1,final_soc_2,final_soc_3,final_soc_std,positive_charge_Ah,discharged_Ah,terminal_input_energy_Wh,max_voltage_V,max_temperature_K,safety_filter_interventions,full_charging_comparison_valid
MBA_RL_reconstructed,A,7,1710.0,True,3150.0,True,3150.0,0.9180877651979915,0.9030331929901884,0.9100517011956935,0.006150681321246109,9.25,-0.0,36.708529346105735,4.19950338071655,306.1874505398405,29,False
CC_then_balancing_reconstructed,A,7,1980.0,True,,False,1980.0,0.49920433903131994,0.5242437571118546,0.5473942382729025,0.01967848126680995,4.5875,0.375,17.31499021691985,4.0026253491295645,301.71489124749337,0,False
MBA_RL_reconstructed,B,7,1350.0,False,3420.0,True,3420.0,0.9522211736286491,0.95151700756698,0.9136586603265594,0.018014863424382882,5.712500000000001,-0.0,23.246903410727906,4.199526025778389,303.7738810415771,32,False
CC_then_balancing_reconstructed,B,7,1260.0,True,,False,1260.0,0.4996021695156604,0.5242425238962157,0.5481898992415892,0.019836530078092076,1.175,0.8625,4.465971298399186,4.111191763552916,299.6734350165246,0,False
