time_s,cell,soc,voltage_V,temperature_K,requested_current_A,applied_current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,soc_std,team_reward
0.0,1,0.3,3.532250151628957,298.15,0.0,0.0,3.532250151628957,3.532250151628957,298.15,0.1632993161855452,0.0
0.0,2,0.5,3.7269672243515,298.15,0.0,0.0,3.7269672243515,3.7269672243515,298.15,0.1632993161855452,0.0
0.0,3,0.7,3.915344670047229,298.15,0.0,0.0,3.915344670047229,3.915344670047229,298.15,0.1632993161855452,0.0
90.0,1,0.32249038529753765,3.71990576506445,298.36640153867916,4.0,4.0,3.6900019692807065,3.71990576506445,298.36640153867916,0.1633014050355739,-7.915070251778695
90.0,2,0.5242425238962135,3.93381554511496,298.5360007283629,4.0,4.0,3.8941294226537244,3.93381554511496,298.5360007283629,0.1633014050355739,-7.915070251778695
90.0,3,0.7224903852975335,4.111191763552916,298.36100313241025,4.0,4.0,4.075825062819569,4.111191763552916,298.36100313241025,0.1633014050355739,-7.915070251778695
180.0,1,0.3449807705950768,3.747385329682224,298.5952995437401,4.0,4.0,3.7345079003966277,3.747385329682224,298.5952995437401,0.1449535265007584,-6.99767632503792
180.0,2,0.5272728393832403,3.795653782965511,298.5156326345396,0.5,0.5,3.8094799493780274,3.84078648271323,298.5360007283629,0.1449535265007584,-6.99767632503792
180.0,3,0.6999999999999931,3.768981348396803,298.53726712887965,-4.0,-4.0,3.812148927027168,3.886024878214693,298.53726712887965,0.1449535265007584,-6.99767632503792
270.0,1,0.36747115589261586,3.7682522361465507,298.82018503589325,4.0,4.0,3.758084198598141,3.7682522361465507,298.82018503589325,0.12772048289838006,-6.136024144919003
270.0,2,0.524242523896214,3.737316106281858,298.4932971468112,-0.5,-0.5,3.7475620865595167,3.763846482054246,298.5156326345396,0.12772048289838006,-6.136024144919003
270.0,3,0.6803209128646455,3.744785623392013,298.6831011937437,-3.5,-3.5,3.762200274820021,3.7791284327911434,298.6831011937437,0.12772048289838006,-6.136024144919003
