time_s,cell,phase,soc,voltage_V,temperature_K,current_A,decision_index
0.0,1,charge,0.513141698052527,3.7601103686696975,298.15,0.0,-1
0.0,2,charge,0.6556555224600688,3.9083613129422203,298.15,0.0,-1
0.0,3,charge,0.6986890628006143,3.961547391838738,298.15,0.0,-1
0.0,1,charge,0.513141698052527,3.7601103686696975,298.15,6.5,0
0.0,1,charge,0.5131416980525272,3.894397284583448,298.15,6.5,0
0.0,2,charge,0.6556555224600688,3.9083613129422203,298.15,3.5,0
0.0,2,charge,0.6556555224600673,3.9951733957142346,298.15,3.5,0
0.0,3,charge,0.6986890628006143,3.961547391838738,298.15,3.0,0
0.0,3,charge,0.6986890628006155,4.0411201415857985,298.15,3.0,0
0.9999999999999999,1,charge,0.5135657886999199,3.9013971420705738,298.1538596078563,6.5,0
0.9999999999999999,2,charge,0.6558974403773311,3.9991378135060742,298.15123527743475,3.5,0
0.9999999999999999,3,charge,0.6989061829095539,4.044394756801369,298.1508081673676,3.0,0
2.0,1,charge,0.5139898793473162,3.906049889391367,298.15774096723857,6.5,0
2.0,2,charge,0.6561393582945945,4.001596919914429,298.15247670763716,3.5,0
2.0,3,charge,0.6991233030184946,4.046493141378866,298.15162021944144,3.0,0
3.0,1,charge,0.5144139699947089,3.909738249113574,298.161643277282,6.5,0
3.0,2,charge,0.6563812762118558,4.003563189038815,298.1537238701671,3.5,0
3.0,3,charge,0.6993404231274333,4.048162249598036,298.1524358676855,3.0,0
4.0,1,charge,0.5148380606421052,3.912911331056889,298.16556592749464,6.5,0
4.0,2,charge,0.6566231941291197,4.005269226201494,298.1549764922302,3.5,0
4.0,3,charge,0.6995575432363741,4.049603778670001,298.1532549319305,3.0,0
5.0,1,charge,0.5152621512894979,3.9157578278448995,298.16950841523095,6.5,0
5.0,2,charge,0.6568651120463811,4.00680998815122,298.15623435611224,3.5,0
5.0,3,charge,0.6997746633453125,4.050900447489509,298.15407727024086,3.0,0
6.0,1,charge,0.5156862419368943,3.918374026267724,298.1734703054776,6.5,0
6.0,2,charge,0.6571070299636422,4.0082332821026885,298.1574972754205,3.5,0
