iteration,best_objective,solver_failures,evaluations
0,9.33401166876274,0,20
1,7.755368082958808,0,40
2,4.4382348078658325,0,60
3,3.310049068490612,0,80
4,2.1010939352128655,0,100
5,1.1260423904808634,0,120
6,1.1260423904808634,0,140
7,1.0155845845622684,0,160
8,1.0155845845622684,0,180
9,1.007904290239091,0,200
10,0.9902068901443108,0,220
11,0.965893364364242,0,240
12,0.9517019982699437,0,260
13,0.91686437701283,0,280
14,0.9039323485773575,0,300
15,0.8918082848712287,0,320
16,0.8918082848712287,0,340
17,0.8581672918115946,0,360
18,0.8581672918115946,0,380
19,0.8581672918115946,0,400
20,0.8515123519929797,0,420
21,0.8515123519929797,0,440
22,0.8501691811277654,0,460
23,0.8501691811277654,0,480
24,0.8501691811277654,0,500
25,0.8501691811277654,0,520
26,0.8492726126986677,0,540
27,0.8492726126986677,0,560
28,0.8492726126986677,0,580
29,0.8492403239565468,0,600
30,0.8491323155112707,0,620
31,0.8490049809472929,0,640
32,0.8490049809472929,0,660
33,0.8490049809472929,0,680
34,0.8490049809472929,0,700
35,0.8489701732085553,0,720
36,0.8489701732085553,0,740
37,0.8488929068919522,0,760
38,0.8488929068919522,0,780
39,0.8488925866481558,0,800
40,0.8488925866481558,0,820
41,0.8488925866481558,0,840
42,0.8488925866481558,0,860
43,0.8488925866481558,0,880
44,0.8488925866481558,0,900
45,0.8488925866481558,0,920
46,0.8488925866481558,0,940
47,0.8488780802677661,0,960
48,0.8487806597372524,0,980
49,0.8487806597372524,0,1000
50,0.8487341875113152,0,1020
