time_s,cell,soc,voltage_V,temperature_K,requested_current_A,applied_current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,soc_std,team_reward
0.0,1,0.3,3.532250151628957,298.15,0.0,0.0,3.532250151628957,3.532250151628957,298.15,0.1632993161855452,0.0
0.0,2,0.5,3.7269672243515,298.15,0.0,0.0,3.7269672243515,3.7269672243515,298.15,0.1632993161855452,0.0
0.0,3,0.7,3.915344670047229,298.15,0.0,0.0,3.915344670047229,3.915344670047229,298.15,0.1632993161855452,0.0
90.0,1,0.3253016834597296,3.7400457193118246,298.4178085545845,4.5,4.5,3.7063639523233753,3.7400457193118246,298.4178085545845,0.15532052358834605,-7.516026179417303
90.0,2,0.5242425238962135,3.93381554511496,298.5360007283629,4.0,4.0,3.8941294226537244,3.93381554511496,298.5360007283629,0.15532052358834605,-7.516026179417303
90.0,3,0.7056225963243793,3.9675831881043555,298.1649002458957,1.0,1.0,3.9595201023915956,3.9675831881043555,298.1649002458957,0.15532052358834605,-7.516026179417303
180.0,1,0.3562259632438459,3.8092572988153757,298.82381907969204,5.5,5.5,3.787728387342799,3.8092572988153757,298.82381907969204,0.14510267383721193,-7.005133691860597
180.0,2,0.5484850477924269,3.9694116375248725,298.92078503247774,4.0,4.0,3.953013279856502,3.9694116375248725,298.92078503247774,0.14510267383721193,-7.005133691860597
180.0,3,0.7112451926487627,3.975997644450306,298.18014069402017,1.0,1.0,3.9719986936185974,3.975997644450306,298.18014069402017,0.14510267383721193,-7.005133691860597
270.0,1,0.3871502430279622,3.839004176146065,299.22891589031883,5.5,5.5,3.8244829045892823,3.839004176146065,299.22891589031883,0.1353381374323562,-6.51690687161781
270.0,2,0.5818185181497201,4.056898409374502,299.58994771461687,5.5,5.5,4.0319263271030845,4.056898409374502,299.58994771461687,0.1353381374323562,-6.51690687161781
270.0,3,0.7168677889731462,3.9828543085627195,298.1948577397745,1.0,1.0,3.979483532358769,3.9828543085627195,298.1948577397745,0.1353381374323562,-6.51690687161781
