time_s,cell,phase,soc,voltage_V,temperature_K,current_A,decision_index
0.0,1,charge,0.23383551920636228,3.510626354536697,298.15,0.0,-1
0.0,2,charge,0.7337258904753065,3.990679175896557,298.15,0.0,-1
0.0,3,charge,0.2831869137594645,3.5851603975896027,298.15,0.0,-1
0.0,1,charge,0.23383551920636228,3.510626354536697,298.15,7.5,0
0.0,1,charge,0.2338355192063622,3.669389641594891,298.15,7.5,0
0.0,2,charge,0.7337258904753065,3.990679175896557,298.15,3.0,0
0.0,2,charge,0.7337258904753072,4.069073686092835,298.15,3.0,0
0.0,3,charge,0.2831869137594645,3.5851603975896027,298.15,7.5,0
0.0,3,charge,0.2831869137594635,3.746029694889047,298.15,7.5,0
0.9999999999999999,1,charge,0.23432485456874083,3.6751460036494574,298.155343006613,7.5,0
0.9999999999999999,2,charge,0.7339332486901037,4.072253423104051,298.1509115421154,3.0,0
0.9999999999999999,3,charge,0.28372971403181385,3.753092079092963,298.15399959240926,7.5,0
2.0,1,charge,0.2348141899311183,3.6788812110799203,298.16070824529794,7.5,0
2.0,2,charge,0.7341406069049001,4.074352653116197,298.15182750583705,3.0,0
2.0,3,charge,0.2842725143041639,3.7574979604631755,298.1580172876768,7.5,0
3.0,1,charge,0.2353035252934968,3.6819369614491295,298.16609705895246,7.5,0
3.0,2,charge,0.7343479651196966,4.0760223419277075,298.1527475408852,3.0,0
3.0,3,charge,0.284815314576512,3.7610719336837386,298.1620536804372,7.5,0
4.0,1,charge,0.2357928606558754,3.6846344639066375,298.1715096019602,7.5,0
4.0,2,charge,0.734555323334493,4.077462454785639,298.15367143406695,3.0,0
4.0,3,charge,0.2853581148488625,3.7642091545588077,298.16610872608067,7.5,0
5.0,1,charge,0.23628219601825287,3.6871056193169673,298.17694580207916,7.5,0
5.0,2,charge,0.7347626815492895,4.078756467770997,298.1545990189342,3.0,0
5.0,3,charge,0.285900915121211,3.7670703145459985,298.1701822795814,7.5,0
6.0,1,charge,0.23677153138063137,3.689417499035126,298.1824055106558,7.5,0
6.0,2,charge,0.7349700397640851,4.079946911273536,298.15553015458147,3.0,0
6.0,3,charge,0.28644371539356106,3.769737044220985,298.1742741696954,7.5,0
7.0,1,charge,0.23726086674301003,3.691609330453855,298.18788854623364,7.5,0
7.0,2,charge,0.7351773979788824,4.081058800784755,298.1564647164169,3.0,0
7.0,3,charge,0.286986515665911,3.7722571258343454,298.17838421747405,7.5,0
7.999999999999999,1,charge,0.23775020210538741,3.693706098911214,298.1933947087077,7.5,0
7.999999999999999,2,charge,0.735384756193678,4.082107922710776,298.15740259135424,3.0,0
7.999999999999999,3,charge,0.28752931593825953,3.774661053567727,298.1825122404618,7.5,0
9.0,1,charge,0.23823953746776594,3.695724753080664,298.19892378379285,7.5,0
9.0,2,charge,0.7355921144084745,4.083105275573244,298.15834367468716,3.0,0
9.0,3,charge,0.2880721162106099,3.7769695597214765,298.18665805261145,7.5,0
10.0,1,charge,0.2387288728301446,3.6976773918005765,298.20447554384276,7.5,0
10.0,2,charge,0.735799472623271,4.084058713900973,298.15928786817716,3.0,0
10.0,3,charge,0.2886149164829581,3.779197493779279,298.19082146286235,7.5,0
11.0,1,charge,0.239218208192522,3.699572871869419,298.21004974705926,7.5,0
11.0,2,charge,0.7360068308380674,4.084974143295797,298.1602350786621,3.0,0
11.0,3,charge,0.28915771675530855,3.7813557704797995,298.19500227333003,7.5,0
12.0,1,charge,0.23970754355490057,3.70141791173812,298.2156461366043,7.5,0
12.0,2,charge,0.7362141890528638,4.085856133420258,298.1611852170735,3.0,0
12.0,3,charge,0.28970051702765853,3.7834527060292045,298.1992002777755,7.5,0
13.0,1,charge,0.24019687891727917,3.703217702134837,298.2212644397237,7.5,0
13.0,2,charge,0.7364215472676603,4.086708275575411,298.16213819776414,3.0,0
13.0,3,charge,0.29024331730000674,3.785494763407745,298.20341526037055,7.5,0
14.0,1,charge,0.24068621427965659,3.7049762722505593,298.2269043672696,7.5,0
14.0,2,charge,0.7366289054824567,4.087533466494179,298.16309393797826,3.0,0
14.0,3,charge,0.29078611757235695,3.7874869911101716,298.20764699495277,7.5,0
15.0,1,charge,0.2411755496420351,3.7066968387919728,298.2325656136837,7.5,0
15.0,2,charge,0.7368362636972532,4.0883340966878094,298.16405235744844,3.0,0
15.0,3,charge,0.2913289178447057,3.7894334441968303,298.2118952446732,7.5,0
16.0,1,charge,0.24166488500441377,3.7083820232796167,298.2382478573262,7.5,0
16.0,2,charge,0.7370436219120496,4.0891121769358705,298.1650133780942,3.0,0
16.0,3,charge,0.2918717181170556,3.7913374482339894,298.2161597619889,7.5,0
