episode,reward,loss,epsilon
1,-80.12000462931806,,0.499375
2,-195.83632186982015,,0.49875
3,-154.2945994592794,,0.498125
4,-121.24275101076749,,0.4975
5,-170.3270509516061,10.56446647644043,0.496875
6,-208.54237816665196,3.8315539360046387,0.49625
7,-197.3382749922205,1.359119176864624,0.495625
8,-187.01483353764544,3.4976823329925537,0.495
9,-190.7600688297194,2.254204750061035,0.494375
10,-186.53433458867627,2.5155768394470215,0.49375
11,-147.00119805939505,0.8701575398445129,0.493125
12,-163.2527259294446,1.110671877861023,0.4925
13,-127.86928756447564,1.2090675830841064,0.491875
14,-187.326078660563,1.0654444694519043,0.49125
15,-132.39741570336807,0.9763978719711304,0.490625
16,-246.55760631040224,0.8850290179252625,0.49
17,-159.08979239248214,1.0518542528152466,0.489375
18,-189.24215330496216,0.8228635787963867,0.48875
19,-153.792946239484,1.0517855882644653,0.488125
20,-197.47430607386758,0.7376528382301331,0.4875
21,-125.26953616149271,0.701190710067749,0.486875
22,-86.74026425935513,0.7829299569129944,0.48625
23,-166.07950271123636,0.7820850610733032,0.485625
24,-93.83336898720556,0.7548558712005615,0.485
25,-143.4480165124636,0.5604442954063416,0.484375
26,-121.67063691767429,0.8683938980102539,0.48375
27,-95.59900603538071,0.8101003170013428,0.483125
28,-83.09765222508256,0.7502079606056213,0.4825
29,-109.23733236985247,0.6850594878196716,0.481875
30,-65.1427385776305,0.8372026681900024,0.48125
31,-112.41457989403897,0.7000070214271545,0.480625
32,-140.61569388209304,0.7878434062004089,0.48
33,-107.78348206945863,0.7053254246711731,0.479375
34,-96.3961251754666,0.6629204154014587,0.47875
35,-124.98749341259835,0.6252216696739197,0.478125
36,-101.89386569384877,0.5691251754760742,0.4775
37,-120.34185898277921,0.7263311743736267,0.476875
38,-154.1012392346928,0.7483859062194824,0.47625
39,-122.36672697544518,0.5732235312461853,0.475625
40,-102.776632427084,0.6133666634559631,0.475
41,-144.97949284067255,0.6066496968269348,0.474375
42,-112.8152576579736,0.5918135046958923,0.47375
43,-97.5185704808642,0.511629581451416,0.473125
44,-141.65778882776746,0.581460177898407,0.4725
45,-135.54497087608488,0.5064857602119446,0.471875
46,-84.25968170611931,0.5987797975540161,0.47125
47,-98.34466504861587,0.47775763273239136,0.470625
48,-95.93986656933588,0.5680472254753113,0.47
49,-94.1438703557999,0.5009308457374573,0.469375
50,-92.8990030251229,0.51187664270401,0.46875
51,-98.30700273768514,0.6080657839775085,0.468125
52,-78.07083931848595,0.5619348287582397,0.4675
